partenza,arrivo,km,fonte,qualita,km_linea_aria,rapporto,km_rinf,km_gtfs,km_osm,km_prontuario
AULLA LUNIGIANA,FORNOVO,75.57,rinf,ufficiale,53.72,1.41,75.57,75.39,75.29,
AULLA LUNIGIANA,FORTE DEI MARMI SERAVEZZA QUERCETA,42.3,rinf,ufficiale,32.17,1.31,42.296,,42.33,
AULLA LUNIGIANA,GENOVA BRIGNOLE,104.88,rinf,ufficiale,84.66,1.24,104.884,105.0,105.35,
AULLA LUNIGIANA,GRAGNOLA,13.81,rinf,ufficiale,11.0,1.26,13.811,13.79,13.87,
AULLA LUNIGIANA,LA SPEZIA CENTRALE,20.84,rinf,ufficiale,17.66,1.18,20.842,,20.85,
AULLA LUNIGIANA,LIVORNO CENTRALE,95.46,rinf,ufficiale,79.32,1.2,95.459,98.53,95.56,
AULLA LUNIGIANA,LUCCA,78.31,rinf,ufficiale,59.93,1.31,78.315,78.82,78.37,
AULLA LUNIGIANA,MASSA CENTRO,35.12,rinf,ufficiale,25.15,1.4,35.124,35.59,35.16,
AULLA LUNIGIANA,MINUCCIANO PIEVE CASOLA,24.21,rinf,ufficiale,17.52,1.38,24.206,,24.28,
AULLA LUNIGIANA,PARMA,98.59,rinf,ufficiale,71.39,1.38,98.589,98.35,98.34,
AULLA LUNIGIANA,PIAZZA AL SERCHIO,32.54,rinf,ufficiale,25.95,1.25,32.54,,32.72,
AULLA LUNIGIANA,PISA CENTRALE,77.52,rinf,ufficiale,66.03,1.17,77.517,78.03,77.55,
AULLA LUNIGIANA,PONTREMOLI,20.01,rinf,ufficiale,18.43,1.09,20.011,19.97,20.05,
AULLA LUNIGIANA,S PIETRO A VICO,83.55,rinf,ufficiale,58.52,1.43,83.548,84.05,83.64,
AULLA LUNIGIANA,SARZANA,17.9,rinf,ufficiale,14.76,1.21,17.9,18.38,21.47,
AULLA LUNIGIANA,VIAREGGIO,55.3,rinf,ufficiale,45.22,1.22,55.305,55.79,56.27,
AURISINA,BRESCIA,311.0,prontuario,stimata,271.1,1.15,,,,311.0
AURISINA,CARNIA,99.0,prontuario,stimata,81.0,1.22,,,,99.0
AURISINA,CERVIGNANO A G,30.0,prontuario,stimata,28.02,1.07,,,,30.0
AURISINA,CHIVASSO,518.0,prontuario,stimata,456.25,1.14,,,,518.0
AURISINA,DESENZANO SIRMIONE,283.0,prontuario,stimata,,,,,,283.0
AURISINA,GORIZIA CENTRALE,35.0,prontuario,stimata,20.87,1.68,,,,35.0
AURISINA,LATISANA LIGNANO BIB,59.0,prontuario,stimata,,,,,,59.0
AURISINA,MILANO LAMBRATE,390.0,prontuario,stimata,347.28,1.12,,,,390.0
AURISINA,MILANO P GARIBALDI,394.0,prontuario,stimata,,,,,,394.0
AURISINA,MONFALCONE,13.0,prontuario,stimata,10.77,1.21,,,,13.0
AURISINA,NOVARA,446.0,prontuario,stimata,395.25,1.13,,,,446.0
AURISINA,PADOVA,164.0,prontuario,stimata,145.27,1.13,,,,164.0
AURISINA,PALMANOVA,41.0,prontuario,stimata,34.53,1.19,,,,41.0
AURISINA,PESCHIERA D GARDA,269.0,prontuario,stimata,,,,,,269.0
AURISINA,PONTEBBA,129.0,prontuario,stimata,88.57,1.46,,,,129.0
AURISINA,PORTOGRUARO CAORLE,73.0,prontuario,stimata,66.42,1.1,,,,73.0
AURISINA,RHO,411.0,prontuario,stimata,361.86,1.14,,,,411.0
AURISINA,S BONIFACIO,222.0,prontuario,stimata,191.85,1.16,,,,222.0
AURISINA,S DONÀ DI PIAVE JESOL,100.0,prontuario,stimata,,,,,,100.0
AURISINA,SANTHIÀ,487.0,prontuario,stimata,,,,,,487.0
AURISINA,TORINO PORTA NUOVA,547.0,prontuario,stimata,475.27,1.15,,,,547.0
AURISINA,TORINO PORTA SUSA,541.0,prontuario,stimata,476.02,1.14,,,,541.0
AURISINA,TREVIGLIO,360.0,prontuario,stimata,320.35,1.12,,,,360.0
AURISINA,TRIESTE CENTRALE,15.0,prontuario,stimata,12.54,1.2,,,,15.0
AURISINA,UDINE,59.0,prontuario,stimata,48.13,1.23,,,,59.0
AURISINA,VENEZIA MESTRE,136.0,prontuario,stimata,117.1,1.16,,,,136.0
AURISINA,VERCELLI,468.0,prontuario,stimata,413.14,1.13,,,,468.0
AURISINA,VERONA PORTA NUOVA,246.0,prontuario,stimata,213.56,1.15,,,,246.0
AURISINA,VERONA PORTA VESCOV,242.0,prontuario,stimata,,,,,,242.0
AURISINA,VICENZA,194.0,prontuario,stimata,168.54,1.15,,,,194.0
AVELLINO,BENEVENTO,29.91,osm+conferma,confermata,24.87,1.2,,,29.91,30.0
AVELLINO,CHIANCHE CEPPALONI,18.87,osm,stimata,14.77,1.28,,,18.87,
AVELLINO,MERCATO S S,31.0,prontuario,stimata,,,,,,31.0
AVELLINO,MERCATO S SEVERINO,30.21,osm,stimata,16.19,1.87,,,30.21,
AVELLINO,NAPOLI CENTRALE,79.4,osm,stimata,46.64,1.7,,,79.4,
AVELLINO,NOCERA INFERIORE,41.59,osm,stimata,24.24,1.72,,,41.59,
AVELLINO,S MARIA LA BRUNA,62.48,osm,stimata,39.32,1.59,,,62.48,
AVELLINO,SALERNO,49.0,prontuario,stimata,27.63,1.77,,,,49.0
AVERSA,AGROPOLI,123.0,prontuario,stimata,,,,,,123.0
AVERSA,ARIANO IRPINO,116.0,prontuario,stimata,78.91,1.47,,,,116.0
AVERSA,BARAGIANO – RUOTI,156.0,prontuario,stimata,,,,,,156.0
AVERSA,BATTIPAGLIA,93.0,prontuario,stimata,76.24,1.22,,,,93.0
AVERSA,BELLA – MURO,153.0,prontuario,stimata,,,,,,153.0
AVERSA,BENEVENTO,76.72,rinf,ufficiale,49.97,1.54,76.716,,70.18,78.0
AVERSA,BOIANO,133.19,rinf,ufficiale,61.14,2.18,133.194,,133.51,
AVERSA,BOLZANO BOZEN,869.0,prontuario,stimata,,,,,,869.0
AVERSA,CANCELLO,3.0,incerta,sospetta,17.07,0.18,,,,3.0
AVERSA,CASERTA,14.92,rinf,ufficiale,14.1,1.06,14.92,,15.48,15.0
AVERSA,CASSINO,73.89,rinf,ufficiale,65.52,1.13,73.888,,74.23,
AVERSA,CERVARO,170.0,prontuario,stimata,,,,,,170.0
AVERSA,EBOLI,99.0,prontuario,stimata,80.96,1.22,,,,99.0
AVERSA,ECCELLENTE,366.0,prontuario,stimata,,,,,,366.0
AVERSA,FIRENZE CAMPO MARTE,407.23,rinf,ufficiale,394.94,1.03,407.231,,447.73,
AVERSA,FIRENZE RIFREDI,513.0,prontuario,stimata,397.05,1.29,,,,513.0
AVERSA,FIRENZE S MARIA NOVELLA,511.0,prontuario,stimata,395.82,1.29,,,,511.0
AVERSA,FIUMETORTO,693.0,prontuario,stimata,,,,,,693.0
AVERSA,FOGGIA,179.0,prontuario,stimata,124.61,1.44,,,,179.0
AVERSA,FORMIA,66.0,prontuario,stimata,,,,,,66.0
AVERSA,FORMIA GAETA,66.26,rinf,ufficiale,60.29,1.1,66.26,,66.26,
AVERSA,GINOSA,302.0,prontuario,stimata,,,,,,302.0
AVERSA,GIOIA TAURO,443.0,prontuario,stimata,317.81,1.39,,,,443.0
AVERSA,GRICIGNANO TEVEROLA,3.66,rinf,ufficiale,3.5,1.05,3.66,,4.23,
AVERSA,ISERNIA,105.11,rinf,ufficiale,70.07,1.5,105.106,,106.02,
AVERSA,LATINA,133.0,prontuario,stimata,123.49,1.08,,,,133.0
AVERSA,MARATEA,212.0,prontuario,stimata,166.56,1.27,,,,212.0
AVERSA,MESSINA CENTRALE,504.0,prontuario,stimata,330.64,1.52,,,,504.0
AVERSA,METAPONTO,292.0,prontuario,stimata,229.11,1.27,,,,292.0
AVERSA,MILANO CENTRALE,752.76,osm,stimata,644.93,1.17,519.605,,752.76,
AVERSA,NAPOLI CENTRALE,19.22,rinf,ufficiale,14.12,1.36,19.221,,19.17,19.0
AVERSA,NOCERA INFERIORE,56.0,prontuario,stimata,44.2,1.27,,,,56.0
AVERSA,ORA AUER,853.0,prontuario,stimata,,,,,,853.0
AVERSA,ORTE,278.0,prontuario,stimata,221.79,1.25,,,,278.0
AVERSA,PALERMO CENTRALE,736.0,prontuario,stimata,326.62,2.25,,,,736.0
AVERSA,PAOLA,294.0,prontuario,stimata,237.2,1.24,,,,294.0
AVERSA,PICERNO,168.0,prontuario,stimata,125.41,1.34,,,,168.0
AVERSA,PISTICCI,267.0,prontuario,stimata,206.14,1.3,,,,267.0
AVERSA,POMPEI,45.0,prontuario,stimata,34.7,1.3,,,,45.0
AVERSA,PRATO CENTRALE,527.0,prontuario,stimata,411.61,1.28,,,,527.0
AVERSA,REGGIO CALABRIA CENTRALE,460.92,osm,stimata,341.41,1.35,,,460.92,
AVERSA,ROMA TERMINI,194.68,rinf,ufficiale,176.49,1.1,194.683,,194.53,195.0
AVERSA,ROMA TIBURTINA,194.74,rinf,ufficiale,174.78,1.11,194.735,,194.6,200.0
AVERSA,ROMA TUSCOLANA,192.05,rinf,ufficiale,173.52,1.11,192.047,,192.74,
AVERSA,ROSARNO,433.0,prontuario,stimata,314.25,1.38,,,,433.0
AVERSA,ROVERETO,790.0,prontuario,stimata,604.05,1.31,,,,790.0
AVERSA,SALERNO,73.0,prontuario,stimata,57.21,1.28,,,,73.0
AVERSA,SAPRI,200.0,prontuario,stimata,155.26,1.29,,,,200.0
AVERSA,SESTRI LEVANTE,635.17,osm,stimata,538.78,1.18,488.586,,635.17,
AVERSA,SICIGNANO D A,124.0,prontuario,stimata,,,,,,124.0
AVERSA,SOLOPACA,50.0,prontuario,stimata,39.7,1.26,,,,50.0
AVERSA,TARANTO,329.67,rinf,ufficiale,259.1,1.27,329.668,,329.26,336.0
AVERSA,TELESE CERRETO,46.0,prontuario,stimata,37.04,1.24,,,,46.0
AVERSA,TORINO PORTA NUOVA,839.13,osm,stimata,699.15,1.2,509.713,,839.13,
AVERSA,TRENTO,814.0,prontuario,stimata,619.49,1.31,,,,814.0
AVERSA,VERNIO,547.0,prontuario,stimata,,,,,,547.0
AVERSA,VIBO V PIZZO,380.0,prontuario,stimata,,,,,,380.0
AVERSA,VILLA LITERNO,14.34,rinf,ufficiale,13.1,1.09,14.335,,14.38,14.0
AVERSA,VILLA S GIOVANNI,480.0,prontuario,stimata,329.63,1.46,,,,480.0
AVEZZANO,ANVERSA VILLALAGO SCANNO,54.8,rinf,ufficiale,33.89,1.62,54.804,,54.87,
AVEZZANO,ARCE,70.15,rinf,ufficiale,52.09,1.35,70.146,,70.15,
AVEZZANO,ARPINO,59.94,rinf,ufficiale,45.88,1.31,59.936,,59.85,
AVEZZANO,BAGNI DI TIVOLI,87.01,osm,stimata,59.05,1.47,,,87.01,
AVEZZANO,BALSORANO,37.04,rinf,ufficiale,27.76,1.33,37.042,,36.9,
AVEZZANO,CAPISTRELLO,8.69,rinf,ufficiale,8.0,1.09,8.685,,8.71,
AVEZZANO,CARSOLI,32.55,rinf,ufficiale,29.25,1.11,32.549,,32.68,
AVEZZANO,CASSINO,96.44,rinf,ufficiale,70.17,1.37,96.444,,96.35,
AVEZZANO,CASTEL MADAMA,59.78,rinf,ufficiale,46.74,1.28,59.777,,60.03,
AVEZZANO,CELANO OVINDOLI,10.63,rinf,ufficiale,10.52,1.01,10.633,,10.62,
AVEZZANO,CERCHIO,16.02,rinf,ufficiale,14.4,1.11,16.017,,16.07,
AVEZZANO,CHIETI,118.0,prontuario,stimata,68.43,1.72,,,,118.0
AVEZZANO,CIVITA D ANTINO MORINO,25.71,rinf,ufficiale,18.97,1.36,25.713,,25.54,
AVEZZANO,CIVITELLA ROVETO,19.7,rinf,ufficiale,13.63,1.45,19.695,,19.43,
AVEZZANO,COCULLO,35.29,rinf,ufficiale,28.77,1.23,35.294,,34.63,
AVEZZANO,COLLARMELE,19.72,rinf,ufficiale,16.9,1.17,19.722,,19.75,
AVEZZANO,GORIANO – SICOLI,41.0,prontuario,stimata,,,,,,41.0
AVEZZANO,GUIDONIA MONTECELIO S ANGELO,81.18,rinf,ufficiale,,,81.176,,,
AVEZZANO,ISOLA LIRI,55.31,rinf,ufficiale,41.86,1.32,55.306,,55.22,
AVEZZANO,LUNGHEZZA,92.16,rinf,ufficiale,66.9,1.38,92.157,,95.66,
AVEZZANO,MANDELA SAMBUCI,53.66,osm,stimata,41.7,1.29,,,53.66,
AVEZZANO,MARCELLINA PALOMBARA,73.4,rinf,ufficiale,52.65,1.39,73.401,,73.73,
AVEZZANO,NETTUNO,26.0,incerta,sospetta,90.45,0.29,,,,26.0
AVEZZANO,PESCARA,133.19,rinf,ufficiale,79.81,1.67,133.19,,133.34,
AVEZZANO,PESCARA CENTRALE,132.0,prontuario,stimata,,,,,,132.0
AVEZZANO,PESCARA P N,131.0,prontuario,stimata,,,,,,131.0
AVEZZANO,PESCOCANALE,13.72,rinf,ufficiale,9.42,1.46,13.719,,13.53,
AVEZZANO,PIEDIMONTE VILLA S LUCIA AQUINO,87.45,rinf,ufficiale,65.55,1.33,87.45,,87.43,
AVEZZANO,POPOLI VITTORITO,80.08,rinf,ufficiale,36.13,2.22,80.081,,80.04,
AVEZZANO,PRATOLA – PELIGNA,70.0,prontuario,stimata,,,,,,70.0
AVEZZANO,ROCCASECCA,79.45,rinf,ufficiale,57.74,1.38,79.455,,,
AVEZZANO,ROMA PRENESTINA,102.82,rinf,ufficiale,74.47,1.38,102.824,,103.27,
AVEZZANO,ROMA TERMINI,107.08,rinf,ufficiale,78.15,1.37,107.08,,107.74,103.0
AVEZZANO,ROMA TIBURTINA,105.77,rinf,ufficiale,75.21,1.41,105.765,,106.17,108.0
AVEZZANO,ROVIANO,45.28,rinf,ufficiale,35.97,1.26,45.279,,45.45,
AVEZZANO,SALONE PC,96.0,prontuario,stimata,,,,,,96.0
AVEZZANO,SCURCOLA MARSICANA,7.78,rinf,ufficiale,6.95,1.12,7.778,,7.84,
AVEZZANO,SORA,49.88,rinf,ufficiale,39.27,1.27,49.879,,49.75,
AVEZZANO,SULMONA,64.86,rinf,ufficiale,39.79,1.63,64.857,,64.8,64.0
AVEZZANO,TAGLIACOZZO,15.91,rinf,ufficiale,14.52,1.1,15.913,,15.97,16.0
AVEZZANO,TERRACINA,18.0,prontuario,stimata,,,,,,18.0
AVEZZANO,TIVOLI,67.51,rinf,ufficiale,52.07,1.3,67.507,,67.82,68.0
AVEZZANO,TORRE DEI PASSERI,94.54,rinf,ufficiale,47.87,1.97,94.537,,94.58,
AVEZZANO,VAL D ALA,109.55,rinf,ufficiale,75.88,1.44,109.552,,110.22,
AVEZZANO,VALLE DELL ANIENE MANDELA SAMBUCI,53.43,rinf,ufficiale,41.7,1.28,53.429,,53.66,
AVIANO,BUDOIA POLCENIGO,5.69,rinf,ufficiale,5.45,1.04,5.693,,5.65,
AVIANO,MANIAGO,16.11,rinf,ufficiale,13.42,1.2,16.105,,14.15,
AVIANO,SACILE,16.11,rinf,ufficiale,14.71,1.09,16.112,,16.12,
AVIGLIANA,BARDONECCHIA,62.1,rinf,ufficiale,54.28,1.14,62.101,62.11,62.33,
AVIGLIANA,BUSSOLENO,21.43,rinf,ufficiale,20.77,1.03,21.43,21.43,21.18,
AVIGLIANA,SUSA,28.96,rinf,ufficiale,28.02,1.03,28.956,28.96,28.97,
AVIGLIANA,TORINO PORTA NUOVA,24.1,rinf,ufficiale,21.92,1.1,24.104,24.1,23.95,
AVIGLIANO LUCANIA,POTENZA INFERIORE,14.0,prontuario+conferma,confermata,9.61,1.46,,,14.3,14.0
AVIGLIANO LUCANIA,POTENZA SUPERIORE,11.0,prontuario,stimata,7.81,1.41,,,,11.0
AVIGLIANO LUCANIA,VITULANO – FOGLIANISE,7.0,prontuario,stimata,,,,,,7.0
AVOLA,SIRACUSA,25.74,rinf,ufficiale,22.61,1.14,25.742,,25.93,
BADESSE,EMPOLI,55.05,rinf,ufficiale,45.04,1.22,55.054,,55.19,
BADESSE,FIRENZE S MARIA NOVELLA,85.6,rinf,ufficiale,43.48,1.97,85.604,,85.56,
BADIA POLESINE,ISOLA DELLA SCALA,45.5,rinf,ufficiale,41.78,1.09,45.5,,49.43,
BADIA POLESINE,ROVIGO,28.48,rinf,ufficiale,23.35,1.22,28.477,,30.09,
BADIA POLESINE,VERONA PORTA NUOVA,66.16,rinf,ufficiale,54.15,1.22,66.164,,70.22,
BAGHERIA,AGRIGENTO CENTRALE,122.84,rinf,ufficiale,85.87,1.43,122.838,,124.29,
BAGHERIA,CAMPOFELICE,39.59,rinf,ufficiale,34.34,1.15,39.587,,40.46,
BAGHERIA,CEFALU,53.0,rinf,ufficiale,45.72,1.16,52.996,,53.89,
BAGHERIA,ISOLA DELLE FEMMINE,29.24,rinf,ufficiale,25.44,1.15,29.236,,28.4,
BAGHERIA,PALERMO AEROPORTO,46.25,rinf,ufficiale,36.61,1.26,46.253,,45.64,
BAGHERIA,PALERMO CENTRALE,13.21,rinf,ufficiale,12.18,1.08,13.206,,12.3,
BAGHERIA,PALERMO NOTARBARTOLO,17.13,rinf,ufficiale,15.17,1.13,17.13,,16.17,
BAGHERIA,S AGATA M,112.48,osm,stimata,99.82,1.13,,,112.48,
BAGHERIA,TERMINI IMERESE,23.21,rinf,ufficiale,20.87,1.11,23.209,,24.18,
BAGNACAVALLO,BOLOGNA CENTRALE,60.26,rinf,ufficiale,51.0,1.18,60.256,,61.77,
BAGNACAVALLO,RAVENNA,22.71,rinf,ufficiale,18.97,1.2,22.714,,22.7,
BAGNARA,COSENZA,168.06,rinf,ufficiale,121.93,1.38,168.058,,168.17,
BAGNARA,LAMEZIA TERME CENTRALE,88.51,rinf,ufficiale,81.28,1.09,88.513,,88.49,
BAGNARA,MELITO DI PORTO SALVO,61.62,rinf,ufficiale,40.71,1.51,61.619,,61.36,
BAGNARA,REGGIO DI CALABRIA CENTRALE,31.81,rinf,ufficiale,24.54,1.3,31.806,,31.57,
BAGNI DI LUCCA,AULLA LUNIGIANA,66.62,rinf,ufficiale,51.78,1.29,66.618,66.61,66.82,
BAGNI DI LUCCA,CASTELNUOVO DI GARFAGNANA,21.62,rinf,ufficiale,16.87,1.28,21.619,,21.58,
BAGNI DI LUCCA,LUCCA,23.3,rinf,ufficiale,18.84,1.24,23.305,23.31,23.41,
BAGNI DI LUCCA,PIAZZA AL SERCHIO,34.08,rinf,ufficiale,28.41,1.2,34.078,,34.1,
BAGNI DI LUCCA,PISA CENTRALE,46.38,rinf,ufficiale,35.04,1.32,46.384,46.44,46.53,
BAGNI DI TIVOLI,AVEZZANO,87.01,osm,stimata,59.05,1.47,,,87.01,
BAGNI DI TIVOLI,PESCARA,220.35,osm,stimata,134.99,1.63,,,220.35,
BAGNI DI TIVOLI,ROMA TERMINI,20.73,osm,stimata,19.2,1.08,,,20.73,
BAGNI DI TIVOLI,ROMA TIBURTINA,19.16,osm,stimata,16.23,1.18,,,19.16,
BAGNI DI TIVOLI,TIVOLI,19.19,osm,stimata,6.98,2.75,,,19.19,
BAGNI DI TIVOLI,VAL D ALA,23.21,osm,stimata,16.93,1.37,,,23.21,
BAGNOLO IN PIANO,GUASTALLA,20.74,rinf,ufficiale,17.87,1.16,20.742,,20.77,
BAGNOLO IN PIANO,REGGIO EMILIA,7.83,rinf,ufficiale,7.5,1.04,7.831,,78.54,
BAGNOLO IN PIANO,S LAZZARO,9.92,osm,stimata,7.94,1.25,,,9.92,
BAGNOLO MELLA,CREMONA,37.15,rinf,ufficiale,34.71,1.07,37.154,,80.58,
BALANGERO,ALBA,98.47,rinf,ufficiale,74.87,1.32,98.472,,98.54,
BALESTRATE,CASTELVETRANO,56.97,rinf,ufficiale,45.0,1.27,56.97,,56.92,
BALESTRATE,TRAPANI,131.31,incerta,sospetta,42.87,3.06,131.333,,131.31,
BALSORANO,AVEZZANO,37.04,rinf,ufficiale,27.76,1.33,37.042,,36.9,
BALSORANO,CASSINO,59.4,rinf,ufficiale,42.65,1.39,59.402,,59.45,
BARAGIANO,POTENZA CENTRALE,29.13,osm,stimata,21.29,1.37,,,29.13,
BARAGIANO,ROMA TERMINI,342.45,osm,stimata,289.35,1.18,,,342.45,
BARAGIANO,SALERNO,82.36,osm,stimata,67.24,1.22,,,82.36,
BARAGIANO RUOTI,POTENZA CENTRALE,29.06,rinf,ufficiale,21.29,1.37,29.06,,29.13,
BARAGIANO RUOTI,SALERNO,81.91,rinf,ufficiale,67.24,1.22,81.908,,82.36,
BARAGIANO – RUOTI,AVERSA,156.0,prontuario,stimata,,,,,,156.0
BARAGIANO – RUOTI,BATTIPAGLIA,63.0,prontuario,stimata,,,,,,63.0
BARAGIANO – RUOTI,BELLA – MURO,3.0,prontuario,stimata,,,,,,3.0
BARAGIANO – RUOTI,BIVIO S LUCIA,94.0,prontuario,stimata,,,,,,94.0
BARAGIANO – RUOTI,EBOLI,57.0,prontuario,stimata,,,,,,57.0
BARAGIANO – RUOTI,FERRANDINA P M,98.0,prontuario,stimata,,,,,,98.0
BARAGIANO – RUOTI,FORMIA,222.0,prontuario,stimata,,,,,,222.0
BARAGIANO – RUOTI,GINOSA,146.0,prontuario,stimata,,,,,,146.0
BARAGIANO – RUOTI,GRASSANO – G – T,60.0,prontuario,stimata,,,,,,60.0
BARAGIANO – RUOTI,LATINA,289.0,prontuario,stimata,,,,,,289.0
BARAGIANO – RUOTI,METAPONTO,136.0,prontuario,stimata,,,,,,136.0
BARAGIANO – RUOTI,NAPOLI CENTRALE,137.0,prontuario,stimata,,,,,,137.0
BARAGIANO – RUOTI,NOCERA INFERIORE,100.0,prontuario,stimata,,,,,,100.0
BARAGIANO – RUOTI,PICERNO,12.0,prontuario,stimata,,,,,,12.0
BARAGIANO – RUOTI,PISTICCI,111.0,prontuario,stimata,,,,,,111.0
BARAGIANO – RUOTI,POMPEI,111.0,prontuario,stimata,,,,,,111.0
BARAGIANO – RUOTI,POTENZA INFERIORE,29.0,prontuario,stimata,,,,,,29.0
BARAGIANO – RUOTI,ROMA TERMINI,351.0,prontuario,stimata,,,,,,351.0
BARAGIANO – RUOTI,SALERNO,83.0,prontuario,stimata,,,,,,83.0
BARAGIANO – RUOTI,SICIGNANO D A,32.0,prontuario,stimata,,,,,,32.0
BARAGIANO – RUOTI,TARANTO,180.0,prontuario,stimata,,,,,,180.0
BARAGIANO – RUOTI,VILLA LITERNO,170.0,prontuario,stimata,,,,,,170.0
BARCELLONA CASTROREALE,MESSINA CENTRALE,39.52,rinf,ufficiale,31.79,1.24,39.517,,39.55,
BARCELLONA CASTROREALE,S AGATA DI MILITELLO,58.97,rinf,ufficiale,49.95,1.18,58.969,,,
BARCO,CIANO D ENZA,12.92,rinf,ufficiale,12.49,1.04,12.923,,13.02,
BARCO,REGGIO EMILIA,13.11,rinf,ufficiale,11.9,1.1,13.108,,13.06,
BARDONECCHIA,A BELLINZONA,33.0,prontuario,stimata,,,,,,33.0
BARDONECCHIA,ALESSANDRIA,71.0,incerta,sospetta,150.41,0.47,,,,71.0
BARDONECCHIA,ASTI,138.56,rinf,ufficiale,119.55,1.16,138.563,141.99,138.69,
BARDONECCHIA,AVIGLIANA,62.1,rinf,ufficiale,54.28,1.14,62.101,62.11,62.33,
BARDONECCHIA,BARDONECCHIA,9.0,prontuario,stimata,,,,,,9.0
BARDONECCHIA,BUSSOLENO,40.67,rinf,ufficiale,35.02,1.16,40.671,40.68,41.15,41.0
BARDONECCHIA,COLLEGNO,76.41,rinf,ufficiale,67.87,1.13,76.411,76.42,76.64,
BARDONECCHIA,GENOVA BRIGNOLE,244.34,rinf,ufficiale,191.71,1.27,244.341,247.66,244.23,
BARDONECCHIA,GRUGLIASCO,78.71,rinf,ufficiale,69.86,1.13,78.709,78.71,78.95,
BARDONECCHIA,MILANO CENTRALE,228.77,rinf,ufficiale,202.71,1.13,228.769,238.26,227.81,
BARDONECCHIA,MODANE,11.0,incerta,sospetta,13.35,0.82,,,,11.0
BARDONECCHIA,NAPOLI CENTRALE,941.37,osm,stimata,773.72,1.22,611.718,,941.37,
BARDONECCHIA,NOVI LIGURE,194.47,rinf,ufficiale,167.52,1.16,194.466,197.88,194.86,
BARDONECCHIA,OULX CESANA CLAVIERE SESTRIERE,11.09,rinf,ufficiale,10.53,1.05,11.089,11.09,11.36,
BARDONECCHIA,PIACENZA,168.0,incerta,sospetta,235.33,0.71,,,,168.0
BARDONECCHIA,ROMA TERMINI,733.47,osm+conferma,confermata,585.46,1.25,521.949,739.66,733.47,
BARDONECCHIA,RONCO SCRIVIA,216.4,rinf,ufficiale,183.85,1.18,216.399,219.82,216.39,
BARDONECCHIA,SALBERTRAND,17.03,rinf,ufficiale,13.94,1.22,17.028,17.03,17.29,
BARDONECCHIA,SNCF GIUBIASCO,30.0,prontuario,stimata,,,,,,30.0
BARDONECCHIA,STRADELLA,135.0,incerta,sospetta,203.43,0.66,,,,135.0
BARDONECCHIA,TORINO PORTA NUOVA,86.2,rinf,ufficiale,76.08,1.13,86.205,86.21,86.28,
BARDONECCHIA,TORTONA,93.0,incerta,sospetta,170.41,0.55,,,,93.0
BARDONECCHIA,VOGHERA,110.0,incerta,sospetta,180.97,0.61,,,,110.0
BARI CENTRALE,ACQUAVIVA DELLE FONTI,37.04,rinf,ufficiale,25.17,1.47,37.038,,38.31,
BARI CENTRALE,AMANTEA,357.0,prontuario,stimata,230.83,1.55,,,,357.0
BARI CENTRALE,ANCONA,442.07,rinf,ufficiale,391.62,1.13,442.072,,441.59,
BARI CENTRALE,AUGUSTA,763.0,prontuario,stimata,453.72,1.68,,,,763.0
BARI CENTRALE,BARI S RITA,7.29,rinf,ufficiale,5.23,1.39,7.286,,8.83,
BARI CENTRALE,BARI S SPIRITO,11.54,rinf,ufficiale,11.36,1.02,11.542,,11.55,
BARI CENTRALE,BARI TORRE A MARE,11.45,rinf,ufficiale,11.11,1.03,11.453,,11.32,
BARI CENTRALE,BARI ZONA INDUSTRIALE,4.26,osm,stimata,4.12,1.03,3.966,,4.26,
BARI CENTRALE,BARLETTA,54.7,rinf,ufficiale,54.14,1.01,54.697,,54.77,
BARI CENTRALE,BENEVENTO,218.64,rinf,ufficiale,175.91,1.24,218.642,,302.88,
BARI CENTRALE,BISCEGLIE,34.08,rinf,ufficiale,33.67,1.01,34.082,,34.07,
BARI CENTRALE,BITETTO PALO DEL COLLE,14.57,rinf,ufficiale,13.31,1.09,14.571,,15.83,
BARI CENTRALE,BITRITTO,11.95,rinf,ufficiale,8.82,1.36,11.949,,13.52,
BARI CENTRALE,BOLOGNA CENTRALE,646.98,osm,stimata,587.48,1.1,439.617,,646.98,
BARI CENTRALE,BRESCIA,819.71,osm,stimata,728.13,1.13,605.623,,819.71,
BARI CENTRALE,BRINDISI,110.92,rinf,ufficiale,103.11,1.08,110.923,,,111.0
BARI CENTRALE,CARIATI,295.0,prontuario,stimata,180.4,1.64,,,,295.0
BARI CENTRALE,CASERTA,280.44,rinf,ufficiale,213.09,1.32,280.438,,280.51,
BARI CENTRALE,CASORIA,303.81,osm,stimata,217.15,1.4,,,303.81,
BARI CENTRALE,CASTELLANETA,70.26,rinf,ufficiale,55.64,1.26,70.258,,71.55,
BARI CENTRALE,CATANIA CENTRALE,707.0,prontuario,stimata,429.44,1.65,,,,707.0
BARI CENTRALE,CATANZARO LIDO,410.0,prontuario,stimata,256.24,1.6,,,,410.0
BARI CENTRALE,CERIGNOLA,88.54,osm,stimata,84.56,1.05,,,88.54,
BARI CENTRALE,CERIGNOLA CAMPAGNA,88.32,rinf,ufficiale,84.3,1.05,88.324,,88.28,
BARI CENTRALE,CESENA,522.29,rinf,ufficiale,506.03,1.03,522.286,,562.86,
BARI CENTRALE,CIRÒ,318.0,prontuario,stimata,,,,,,318.0
BARI CENTRALE,CISTERNINO,61.53,rinf,ufficiale,59.58,1.03,61.53,,61.57,
