partenza,arrivo,km
DESENZANO,MILANO LAMBRATE,104.947
DESENZANO,VENEZIA S LUCIA,155.682
DESENZANO,VERONA PORTA NUOVA,37.022
DESENZANO DEL GARDA SIRMIONE,MILANO CENTRALE,108.027
DESENZANO DEL GARDA SIRMIONE,VENEZIA S LUCIA,155.381
DESENZANO DEL GARDA SIRMIONE,VERONA PORTA NUOVA,36.722
DESIO,ALBAIRATE VERMEZZO,46.396
DESIO,CHIASSO,29.783
DESIO,COMO S GIOVANNI,28.183
DESIO,MILANO LAMBRATE,21.035
DESIO,MILANO PORTA GARIBALDI,18.216
DESIO,MONZA,6.638
DIAMANTE BUONVICINO,COSENZA,67.362
DIAMANTE BUONVICINO,PAOLA,41.776
DICOMANO,FIRENZE RIFREDI,38.099
DICOMANO,FIRENZE S MARIA NOVELLA,38.63
DICOMANO,PONTASSIEVE,18.174
DIECIMO PESCAGLIA,AULLA LUNIGIANA,73.749
DIECIMO PESCAGLIA,CASTELNUOVO DI GARFAGNANA,28.506
DIECIMO PESCAGLIA,LUCCA,16.483
DIECIMO PESCAGLIA,PIAZZA AL SERCHIO,41.031
DIECIMO PESCAGLIA,PISA CENTRALE,39.604
DITTAINO,ALTAVILLA M,152.462
DITTAINO,BAGHERIA,160.547
DITTAINO,CALTANISSETTA CENTRALE,53.056
DITTAINO,CALTANISSETTA XIRBI,46.622
DITTAINO,CATANIA CENTRALE,68.372
DITTAINO,ENNA,20.432
DITTAINO,MONTEMAGGIORE,112.137
DITTAINO,PALERMO CENTRALE,172.838
DITTAINO,ROCCAPALUMBA ALIA,103.441
DITTAINO,TERMINI IMERESE,136.372
DOBBIACO,FORTEZZA,61.829
DOGATO,FERRARA,187.799
DOMEGLIARA,BOLZANO,126.928
DOMEGLIARA,BRENNERO,215.726
DOMEGLIARA,TRENTO,71.371
DOMEGLIARA S AMBROGIO,BOLOGNA CENTRALE,129.589
DOMEGLIARA S AMBROGIO,BOLZANO,126.815
DOMEGLIARA S AMBROGIO,BRENNERO,215.612
DOMODOSSOLA,ARONA,52.517
DOMODOSSOLA,BOLOGNA CENTRALE,333.213
DOMODOSSOLA,BORGOMANERO,56.587
DOMODOSSOLA,BUSTO ARSIZIO,88.291
DOMODOSSOLA,CALTIGNAGA,79.153
DOMODOSSOLA,CRESSA FONTANETO,63.277
DOMODOSSOLA,GALLARATE,79.521
DOMODOSSOLA,GOZZANO,51.709
DOMODOSSOLA,GRAVELLONA TOCE,28.18
DOMODOSSOLA,MILANO CENTRALE,122.806
DOMODOSSOLA,MILANO CERTOSA,115.131
DOMODOSSOLA,MILANO LAMBRATE,126.036
DOMODOSSOLA,MILANO PORTA GARIBALDI,123.181
DOMODOSSOLA,NOVARA,87.383
DOMODOSSOLA,OMEGNA,35.534
DOMODOSSOLA,PARABIAGO,98.611
DOMODOSSOLA,PIEVE VERGONTE,13.068
DOMODOSSOLA,PREMOSELLO CHIOVENDA,15.515
DOMODOSSOLA,SESTO CALENDE,64.189
DOMODOSSOLA,SOMMA LOMBARDO,73.703
DOMODOSSOLA,STRESA,38.218
DOMODOSSOLA,VANZAGO POGLIANO,103.19
DOMODOSSOLA,VENEZIA MESTRE,378.317
DOMODOSSOLA,VENEZIA S LUCIA,386.2
DOMODOSSOLA,VERBANIA PALLANZA,29.457
DOMODOSSOLA,VERONA PORTA NUOVA,267.541
DOMODOSSOLA,VICENZA,319.068
DONNAFUGATA,MODICA,39.406
DONNAFUGATA,NOTO,99.186
DONNAFUGATA,SIRACUSA,131.675
DOSSOBUONO,MANTOVA,57.393
DUBINO,CHIAVENNA,27.984
DUBINO,COLICO,7.114
DUEVILLE,SCHIO,18.457
DUEVILLE,VENEZIA MESTRE,69.676
DUEVILLE,VICENZA,12.725
EBOLI,BARONISSI,38.474
EBOLI,BATTIPAGLIA,6.272
EBOLI,CODOLA,44.593
EBOLI,FISCIANO,40.225
EBOLI,FRATTE,29.681
EBOLI,MERCATO S SEVERINO,43.921
EBOLI,NAPOLI CENTRALE,77.631
EBOLI,NOCERA INFERIORE,40.912
EBOLI,PELLEZZANO,35.701
EBOLI,PONTECAGNANO,16.326
EBOLI,POTENZA CENTRALE,85.284
EBOLI,SALERNO,26.207
EBOLI,TORRE ANNUNZIATA CENTRALE,55.546
EBOLI,VALLE DI MERCATO S SEVERINO,46.602
EDOLO,BOARIO TERME,44.322
EDOLO,BRESCIA,103.263
EDOLO,BRESCIA VIOLINO,99.209
EDOLO,FORNO ALLIONE,12.189
EDOLO,ISEO,76.97
EDOLO,PIAN CAMUNO GRATACASOLO,50.953
EDOLO,PILZONE,74.218
EDOLO,PROVAGLIO TIMOLINE,80.438
EDOLO,SONICO,2.789
EGNA TERMENO,ALA,73.782
EGNA TERMENO,BOLZANO,21.905
EGNA TERMENO,ROVERETO,57.32
EGNA TERMENO,TRENTO,33.659
EGNA TERMENO,VERONA PORTA NUOVA,124.349
ELLERA CORCIANO,FIRENZE S MARIA NOVELLA,133.046
ELLERA CORCIANO,PERUGIA,10.063
EMPOLI,ARBIA,72.91
EMPOLI,ASCIANO,94.949
EMPOLI,BADESSE,55.194
EMPOLI,BORGO VAL DI TARO,162.552
EMPOLI,CAMPIGLIA MARITTIMA,130.772
EMPOLI,CASTELLINA CH,48.889
EMPOLI,CASTELLINA IN CHIANTI MONTERIGGIONI,48.889
EMPOLI,CERTALDO,24.897
EMPOLI,CHIUSI C T,147.17
EMPOLI,CHIUSI CHIANCIANO TERME,147.17
EMPOLI,FIRENZE CASTELLO,26.8
EMPOLI,FIRENZE RIFREDI,29.15
EMPOLI,FIRENZE S MARIA NOVELLA,30.361
EMPOLI,FOLLONICA,148.358
EMPOLI,GRANAIOLO,10.59
EMPOLI,GROSSETO,189.855
EMPOLI,LA SPEZIA CENTRALE,121.518
EMPOLI,LIVORNO CENTRALE,65.391
EMPOLI,MILANO CENTRALE,324.608
EMPOLI,NAPOLI CENTRALE,498.922
EMPOLI,ORBETELLO,221.227
EMPOLI,ORBETELLO MONTE ARGENTARIO,227.756
EMPOLI,PIOMBINO BINARI MARE,143.81
EMPOLI,PIOMBINO MARITTIMA,143.81
EMPOLI,PISA CENTRALE,46.983
EMPOLI,POGGIBONSI,38.047
EMPOLI,POGGIBONSI S GIMIGNANO,37.874
EMPOLI,PONTE A ELSA,5.084
EMPOLI,PONTEDERA CASCIANA TERME,27.58
EMPOLI,PONTREMOLI,144.574
EMPOLI,RAPOLANO TERME,104.841
EMPOLI,RHO,338.763
EMPOLI,ROMA OSTIENSE,292.219
EMPOLI,ROMA TERMINI,289.776
EMPOLI,SALERNO,543.684
EMPOLI,SIENA,63.122
EMPOLI,TORINO PORTA NUOVA,367.178
EMPOLI,VIAREGGIO,68.26
ENNA,CALTANISSETTA CENTRALE,32.624
ENNA,CALTANISSETTA XIRBI,26.19
ENNA,CATANIA CENTRALE,88.804
ENNA,PALERMO CENTRALE,152.406
EQUI TERME,PISA CENTRALE,93.438
ERBA,CARUGO GIUSSANO,14.106
ERBA,MEDA,20.838
ERBA,MILANO AFFORI,36.99
ERBA,MILANO BRUZZANO PARCO NORD,35.593
ERBA,MILANO CADORNA,43.436
ESTE,MANTOVA,75.678
ESTE,MONSELICE,8.222
FABRIANO,ALBACINA,8.982
FABRIANO,ANCONA,70.021
FABRIANO,CASTELPLANIO CUPRAMONTANA,28.645
FABRIANO,CASTELRAIMONDO CAMERINO,27.644
FABRIANO,CIVITANOVA MARCHE MONTEGRANARO,94.945
FABRIANO,FALCONARA MARITTIMA,56.857
FABRIANO,FOLIGNO,58.96
FABRIANO,GENGA S VITTORE TERME,15.499
FABRIANO,JESI,43.355
FABRIANO,LORETO,93.668
FABRIANO,MACERATA,67.701
FABRIANO,MATELICA,20.487
FABRIANO,MONTECOSARO,87.492
FABRIANO,MORROVALLE MONTE S GIUSTO,82.132
FABRIANO,PERGOLA,31.981
FABRIANO,POSTO MOVIMENTO 228,464.857
FABRIANO,RIMINI,146.133
FABRIANO,ROMA TERMINI,207.912
FABRIANO,S SEVERINO MARCHE,39.202
FABRIANO,SENIGALLIA,79.035
FABRIANO,SERRA S QUIRICO,22.392
FABRIANO,TOLENTINO,49.215
FABRO FICULLE,ROMA TERMINI,130.913
FAENZA,ANCONA,153.711
FAENZA,BARI CENTRALE,595.301
FAENZA,BOLOGNA CENTRALE,51.678
FAENZA,BORGO S LORENZO,67.68
FAENZA,BRISIGHELLA,14.132
FAENZA,CAMPOMIGLIAIO,75.6
FAENZA,CESENA,32.445
FAENZA,CONSELICE,87.121
FAENZA,CRESPINO DEL LAMONE,45.845
FAENZA,FIESOLE CALDINE,93.642
FAENZA,FIRENZE CAMPO MARTE,100.548
FAENZA,FIRENZE S MARIA NOVELLA,103.026
FAENZA,GRANAROLO FAENTINO,31.527
FAENZA,IMOLA,16.058
FAENZA,LAVEZZOLA,80.341
FAENZA,LECCE,744.664
FAENZA,LUGO,25.332
FAENZA,MARRADI,35.503
FAENZA,MARRADI PALAZZUOLO SUL SENIO,35.503
FAENZA,MASSALOMBARDA,94.365
FAENZA,MILANO PORTA GARIBALDI,264.277
FAENZA,PARMA,141.584
FAENZA,PESARO,94.179
FAENZA,PIACENZA,197.404
FAENZA,RAVENNA,50.993
FAENZA,RIMINI,60.847
FAENZA,RUSSI,34.659
FAENZA,S BENEDETTO DEL TRONTO,238.258
FAENZA,S CASSIANO,25.935
FAENZA,S PIERO A SIEVE,72.418
FAENZA,S PIETRO IN CASALE,72.891
FAENZA,SANTARCANGELO DI ROMAGNA,50.403
FAGNANO CAMPANA,SULMONA,39.246
FALCONARA MARITTIMA,ANCONA,13.164
FALCONARA MARITTIMA,BOLOGNA CENTRALE,201.795
FALCONARA MARITTIMA,CASTELPLANIO CUPRAMONTANA,28.212
FALCONARA MARITTIMA,FABRIANO,56.857
FALCONARA MARITTIMA,FOLIGNO,115.812
FALCONARA MARITTIMA,PARMA,291.701
FALCONARA MARITTIMA,PESARO,55.938
FALCONARA MARITTIMA,PESCARA,159.205
FALCONARA MARITTIMA,PIACENZA,347.522
FALCONARA MARITTIMA,RIMINI,89.276
FALCONARA MARITTIMA,ROMA TERMINI,264.765
FALCONARA MARITTIMA,ROMA TIBURTINA,260.173
FANO,ANCONA,47.085
FANO,BOLOGNA CENTRALE,158.305
FANO,BOLZANO,413.354
FANO,LECCE,638.037
FANO,MILANO CENTRALE,368.668
FANO,PARMA,248.211
FANO,PESCARA,193.125
FANO,PIACENZA,304.031
FANO,RIMINI,45.785
FANZOLO,CAMPOSAMPIERO,18.906
FANZOLO,PADOVA,40.789
FARA SABINA,FIDENE,24.726
FARA SABINA,FIUMICINO AEROPORTO,65.22
FARA SABINA,NUOVO SALARIO,27.387
FARA SABINA,PONTE GALERIA,56.088
FARA SABINA,ROMA OSTIENSE,40.274
FARA SABINA,ROMA TIBURTINA,33.24
FARA SABINA,ROMA TUSCOLANA,36.797
FARA SABINA,SETTE BAGNI,21.444
FARA SABINA MONTELIBRETTI,FIUMICINO AEROPORTO,64.76
FARA SABINA MONTELIBRETTI,MONTEROTONDO MENTANA,11.567
FARA SABINA MONTELIBRETTI,ORTE,45.705
FARA SABINA MONTELIBRETTI,PONTE GALERIA,55.628
FARA SABINA MONTELIBRETTI,ROMA OSTIENSE,39.814
FARA SABINA MONTELIBRETTI,ROMA TIBURTINA,32.78
FARA SABINA MONTELIBRETTI,ROMA TUSCOLANA,36.337
FASANO,BARI CENTRALE,54.378
FASANO,BARI S SPIRITO,65.933
FASANO,BARI TORRE A MARE,43.058
FASANO,BARI ZONA INDUSTRIALE,58.64
FASANO,BARLETTA,109.152
FASANO,BISCEGLIE,88.452
FASANO,GIOVINAZZO,72.801
FASANO,GROSSETO,714.361
FASANO,LECCE,94.985
FASANO,MILANO CENTRALE,911.72
FASANO,MOLA DI BARI,35.235
FASANO,MOLFETTA,79.14
FASANO,MONOPOLI,13.84
FASANO,POLIGNANO A MARE,20.465
FASANO,ROMA S PIETRO,541.306
FASANO,TRANI,96.474
FELETTO,CHIERI,53.851
FELETTO,TORINO LINGOTTO,36.583
FELTRE,ALANO FENER VALDOBBIADENE,17.278
FELTRE,BELLUNO,30.623
FELTRE,CAMPOSAMPIERO,63.183
FELTRE,CASTELFRANCO VENETO,51.041
FELTRE,MONTEBELLUNA,37.601
FELTRE,PADOVA,85.066
FELTRE,S GIUSTINA CESIO,14.265
FELTRE,SEDICO BRIBANO,18.548
FELTRE,TREVISO C,74.376
FELTRE,TREVISO CENTRALE,74.376
FELTRE,VENEZIA MESTRE,86.436
FERRANDINA SCALO MATERA,TARANTO,80.937
FERRARA,ALFONSINE,143.261
FERRARA,ARGENTA,165.04
FERRARA,BATTAGLIA TERME,58.324
FERRARA,BERGAMO,238.461
FERRARA,BOLOGNA CENTRALE,48.976
FERRARA,BONDENO,18.23
FERRARA,BRESCIA,189.806
FERRARA,CASTEL S PIETRO TERME,69.044
FERRARA,CASTELMAGGIORE,37.058
FERRARA,CATTOLICA S GIOVANNI GABICCE,175.241
FERRARA,CESENA,128.568
FERRARA,CODIGORO,212.03
FERRARA,DOGATO,187.799
FERRARA,FAENZA,96.123
FERRARA,FELONICA,28.02
FERRARA,FELONICA PO,28.02
FERRARA,FERRARA BOSCHETTO,196.547
FERRARA,FORLI,110.747
FERRARA,GAIBANELLA,188.409
FERRARA,IMOLA,80.065
FERRARA,LAVEZZOLA,158.268
FERRARA,MASI TORELLO,196.778
FERRARA,MASSAFISCAGLIA,202.152
FERRARA,MEZZANO,136.103
FERRARA,MIGLIARINO,194.277
FERRARA,MIGLIARO,198.525
FERRARA,MILANO CENTRALE,253.417
FERRARA,MONSELICE,52.761
FERRARA,MONTESANTO,181.2
FERRARA,NAPOLI CENTRALE,606.161
FERRARA,PADOVA,75.829
FERRARA,PEGOGNAGA,128.354
FERRARA,PESARO,190.302
FERRARA,POGGIO RENATICO,13.178
FERRARA,POGGIO RUSCO,98.246
FERRARA,PORTOMAGGIORE,174.77
FERRARA,QUARTESANA,201.496
FERRARA,QUISTELLO,141.975
FERRARA,RAVENNA,128.921
FERRARA,RHO,267.571
FERRARA,RIMINI,156.97
FERRARA,ROVIGO,31.759
FERRARA,S BENEDETTO PO,135.707
FERRARA,S GIORGIO DI PIANO,29.352
FERRARA,S GIORGIO P,29.352
FERRARA,S PIETRO IN CASALE,23.232
FERRARA,SERMIDE,32.845
FERRARA,SUZZARA,169.345
FERRARA,VENEZIA MESTRE,104.564
FERRARA,VENEZIA S LUCIA,112.447
FERRARA,VIGARANO PIEVE,8.916
FIDENZA,ANCONA,316.169
FIDENZA,BERGAMO,160.937
FIDENZA,BOLOGNA CENTRALE,112.134
FIDENZA,BRESCIA,112.281
FIDENZA,BUSSETO,12.874
FIDENZA,CASTELVETRO,27.709
FIDENZA,CASTIONE DEI MARCHESI,6.057
FIDENZA,CREMONA,32.907
FIDENZA,GENOVA BRIGNOLE,172.247
FIDENZA,GENOVA P PRINCIPE,169.796
FIDENZA,LIVORNO CENTRALE,195.706
FIDENZA,MASSA CENTRO,135.306
FIDENZA,MILANO CENTRALE,99.935
FIDENZA,MILANO LAMBRATE,97.031
FIDENZA,MILANO PORTA GARIBALDI,102.171
FIDENZA,MONTELLO GORLAGO,149.749
FIDENZA,PARMA,22.104
FIDENZA,PESARO,256.637
FIDENZA,PESCARA,462.209
FIDENZA,PIACENZA,34.948
FIDENZA,PISA CENTRALE,177.693
FIDENZA,REGGIO EMILIA,50.355
FIDENZA,RIMINI,223.304
FIDENZA,SALSOMAGGIORE T,8.917
FIDENZA,SALSOMAGGIORE TERME,8.917
FIDENZA,SARZANA,121.613
FIDENZA,STRADELLA,68.12
FIDENZA,VAIO OSPEDALE,3.321
FIDENZA,VILLANOVA D ARDA,19.645
FIDENZA,VOGHERA,93.067
FIERA DI ROMA,CIAMPINO,36.067
FIESOLE CALDINE,BORGO S LORENZO,25.962
FIESOLE CALDINE,FAENZA,93.642
FIESOLE CALDINE,FIRENZE CAMPO MARTE,6.906
FIESOLE CALDINE,FIRENZE S MARIA NOVELLA,9.384
FIGLINE VALDARNO,AREZZO,43.635
FIGLINE VALDARNO,CHIUSI C T,93.631
FIGLINE VALDARNO,FIRENZE CASTELLO,32.488
FIGLINE VALDARNO,FIRENZE S MARIA NOVELLA,30.505
FIGLINE VALDARNO,FOLIGNO,156.756
FIGLINE VALDARNO,MONTEVARCHI TERRANUOVA,12.976
FIGLINE VALDARNO,ORTE,168.735
FIGLINE VALDARNO,PERUGIA,117.181
FIGLINE VALDARNO,PISTOIA,61.189
FIGLINE VALDARNO,PRATO CENTRALE,44.167
FIGLINE VALDARNO,ROMA TERMINI,236.238
FIGLINE VALDARNO,ROMA TIBURTINA,231.646
FIGLINE VALDARNO,S GIOVANNI VALDARNO,7.587
FIGLINE VALDARNO,SPOLETO,181.81
FIGLINE VALDARNO,TERONTOLA CORTONA,74.548
FIGLINE VALDARNO,VERNIO MONTEPIANO CANTAGALLO,64.651
FILATTIERA,LA SPEZIA CENTRALE,34.263
FILATTIERA,PARMA,84.929
FILATTIERA,PISA CENTRALE,90.962
FINALE LIGURE MARINA,GENOVA BRIGNOLE,62.68
FINALE LIGURE MARINA,IMPERIA,42.949
FINALE LIGURE MARINA,MILANO CENTRALE,192.804
FINALE LIGURE MARINA,MILANO ROGOREDO,188.077
FINALE LIGURE MARINA,SAVONA,18.31
FINALE LIGURE MARINA,SESTRI LEVANTE,105.481
FINALE LIGURE MARINA,VENTIMIGLIA,81.944
FINO MORNASCO,COMO LAGO,10.286
FIORENZUOLA,ANCONA,329.128
FIORENZUOLA,BOLOGNA CENTRALE,125.093
FIORENZUOLA,LIVORNO CENTRALE,208.665
FIORENZUOLA,PESARO,269.596
FIORENZUOLA,RIMINI,236.263
FIRENZE CAMPO MARTE,AREZZO,65.157
FIRENZE CAMPO MARTE,ATTIGLIANO,178.158
FIRENZE CAMPO MARTE,BATTIPAGLIA,531.605
FIRENZE CAMPO MARTE,BENEVENTO,509.189
FIRENZE CAMPO MARTE,BERGAMO,316.062
FIRENZE CAMPO MARTE,BOLOGNA CENTRALE,94.672
FIRENZE CAMPO MARTE,BOLOGNA CENTRALE/AV,93.099
FIRENZE CAMPO MARTE,BORGO S LORENZO,32.868
FIRENZE CAMPO MARTE,CAMPOMIGLIAIO,24.947
FIRENZE CAMPO MARTE,CESENA,132.992
FIRENZE CAMPO MARTE,CHIUSI C T,115.154
FIRENZE CAMPO MARTE,CHIUSI CHIANCIANO TERME,115.154
FIRENZE CAMPO MARTE,FAENZA,100.548
FIRENZE CAMPO MARTE,FIESOLE CALDINE,6.906
FIRENZE CAMPO MARTE,FIGLINE VALDARNO,26.099
FIRENZE CAMPO MARTE,FIRENZE CASTELLO,6.396
FIRENZE CAMPO MARTE,FIRENZE RIFREDI,3.965
FIRENZE CAMPO MARTE,FIRENZE S MARIA NOVELLA,4.495
FIRENZE CAMPO MARTE,FOLIGNO,178.278
FIRENZE CAMPO MARTE,FROSINONE,335.138
FIRENZE CAMPO MARTE,GENOVA PIAZZA PRINCIPE,240.38
FIRENZE CAMPO MARTE,INCISA,21.856
FIRENZE CAMPO MARTE,LECCE,845.211
FIRENZE CAMPO MARTE,LIVORNO CENTRALE,97.414
FIRENZE CAMPO MARTE,MILANO CENTRALE,305.035
FIRENZE CAMPO MARTE,MONTECATINI TERME MONSUMMANO,48.086
FIRENZE CAMPO MARTE,MONTEVARCHI TERRANUOVA,39.074
FIRENZE CAMPO MARTE,MONZA,316.186
FIRENZE CAMPO MARTE,NAPOLI CENTRALE,466.906
FIRENZE CAMPO MARTE,NOCERA INFERIORE,500.139
FIRENZE CAMPO MARTE,ORTE,190.257
FIRENZE CAMPO MARTE,PARMA,184.578
FIRENZE CAMPO MARTE,PIACENZA,240.398
FIRENZE CAMPO MARTE,PIANORO,82.23
FIRENZE CAMPO MARTE,PISTOIA,35.097
FIRENZE CAMPO MARTE,PONTASSIEVE,16.055
FIRENZE CAMPO MARTE,PRATO CENTRALE,18.075
FIRENZE CAMPO MARTE,PRATOVECCHIO STIA,107.985
FIRENZE CAMPO MARTE,REGGIO DI CALABRIA CENTRALE,905.59
FIRENZE CAMPO MARTE,REGGIO EMILIA AV MEDIOPADANA,233.485
FIRENZE CAMPO MARTE,RHO,319.189
FIRENZE CAMPO MARTE,RHO FIERA,315.456
FIRENZE CAMPO MARTE,RIMINI,161.395
FIRENZE CAMPO MARTE,ROMA OSTIENSE,260.203
FIRENZE CAMPO MARTE,ROMA S PIETRO,265.421
FIRENZE CAMPO MARTE,ROMA TERMINI,257.76
FIRENZE CAMPO MARTE,ROMA TIBURTINA,253.169
FIRENZE CAMPO MARTE,S BENEDETTO SAMBRO CAST PEPOLI,57.967
FIRENZE CAMPO MARTE,S GIOVANNI VALDARNO,33.686
FIRENZE CAMPO MARTE,S PIERO A SIEVE,28.641
FIRENZE CAMPO MARTE,SALERNO,511.667
FIRENZE CAMPO MARTE,SARZANA,135.085
FIRENZE CAMPO MARTE,SIENA,95.145
FIRENZE CAMPO MARTE,SPOLETO,203.332
FIRENZE CAMPO MARTE,TARANTO,773.928
FIRENZE CAMPO MARTE,TARVISIO BOSCOVERDE,457.373
FIRENZE CAMPO MARTE,TERNI,218.222
FIRENZE CAMPO MARTE,TERONTOLA CORTONA,96.07
FIRENZE CAMPO MARTE,TORINO PORTA NUOVA,399.201
FIRENZE CAMPO MARTE,TREVIGLIO,322.555
FIRENZE CAMPO MARTE,TRIESTE CENTRALE,387.43
FIRENZE CAMPO MARTE,UDINE,368.46
FIRENZE CAMPO MARTE,VAGLIA,20.828
FIRENZE CAMPO MARTE,VAIANO,28.844
FIRENZE CAMPO MARTE,VENEZIA MESTRE,243.826
FIRENZE CAMPO MARTE,VENEZIA S LUCIA,251.71
FIRENZE CAMPO MARTE,VERNIO MONTEPIANO CANTAGALLO,38.56
FIRENZE CAMPO MARTE,VERONA PORTA NUOVA,208.07
FIRENZE CASTELLO,AREZZO,71.546
FIRENZE CASTELLO,CHIUSI C T,121.543
FIRENZE CASTELLO,CHIUSI CHIANCIANO TERME,121.543
FIRENZE CASTELLO,EMPOLI,26.8
FIRENZE CASTELLO,FIGLINE VALDARNO,32.488
FIRENZE CASTELLO,FIRENZE CAMPO MARTE,6.396
FIRENZE CASTELLO,FIRENZE S MARIA NOVELLA,4.734
FIRENZE CASTELLO,LUCCA,72.711
FIRENZE CASTELLO,MONTECATINI TERME MONSUMMANO,41.69
FIRENZE CASTELLO,MONTEVARCHI TERRANUOVA,45.463
FIRENZE CASTELLO,PISA CENTRALE,73.783
FIRENZE CASTELLO,PISTOIA,28.701
FIRENZE CASTELLO,PONTASSIEVE,22.444
FIRENZE CASTELLO,PRATO CENTRALE,11.679
FIRENZE CASTELLO,VIAREGGIO,94.669
FIRENZE RIFREDI,AREZZO,69.032
FIRENZE RIFREDI,AULLA LUNIGIANA,153.678
FIRENZE RIFREDI,BARDONECCHIA,479.402
FIRENZE RIFREDI,BOLOGNA CENTRALE,91.799
FIRENZE RIFREDI,BOLZANO,346.848
FIRENZE RIFREDI,BORGO VAL DI TARO,191.702
FIRENZE RIFREDI,CAMPIGLIA MARITTIMA,159.922
FIRENZE RIFREDI,CHIUSI C T,119.029
FIRENZE RIFREDI,CHIUSI CHIANCIANO TERME,119.029
FIRENZE RIFREDI,EMPOLI,29.15
FIRENZE RIFREDI,FIGLINE VALDARNO,29.974
FIRENZE RIFREDI,FIRENZE CAMPO MARTE,3.965
FIRENZE RIFREDI,FIRENZE S MARIA NOVELLA,1.211
FIRENZE RIFREDI,GORIZIA CENTRALE,373.879
FIRENZE RIFREDI,INCISA,25.731
FIRENZE RIFREDI,LA SPEZIA CENTRALE,150.668
FIRENZE RIFREDI,LIVORNO CENTRALE,94.541
FIRENZE RIFREDI,LUCCA,76.233
FIRENZE RIFREDI,MILANO CENTRALE,302.162
FIRENZE RIFREDI,MONTECATINI TERME MONSUMMANO,45.213
FIRENZE RIFREDI,MONTEVARCHI TERRANUOVA,42.95
FIRENZE RIFREDI,PISA CENTRALE,76.133
FIRENZE RIFREDI,PISTOIA,32.223
FIRENZE RIFREDI,POGGIBONSI,67.197
FIRENZE RIFREDI,POGGIBONSI S GIMIGNANO,67.024
FIRENZE RIFREDI,PONTASSIEVE,19.93
FIRENZE RIFREDI,PONTREMOLI,173.724
FIRENZE RIFREDI,PRATO CENTRALE,15.201
FIRENZE RIFREDI,ROMA TERMINI,261.635
FIRENZE RIFREDI,S GIOVANNI VALDARNO,37.561
FIRENZE RIFREDI,SARZANA,132.211
FIRENZE RIFREDI,SIENA,92.272
FIRENZE RIFREDI,TORINO PORTA NUOVA,396.328
FIRENZE RIFREDI,TRIESTE CENTRALE,384.557
FIRENZE RIFREDI,VENEZIA S LUCIA,248.836
FIRENZE RIFREDI,VERNIO MONTEPIANO CANTAGALLO,35.686
FIRENZE RIFREDI,VIAREGGIO,97.41
FIRENZE S MARIA NOVELLA,1 BIVIO ORTE SUD,197.962
FIRENZE S MARIA NOVELLA,ALBINIA,251.598
FIRENZE S MARIA NOVELLA,ALTOPASCIO,63.519
FIRENZE S MARIA NOVELLA,ANCONA,256.738
FIRENZE S MARIA NOVELLA,AREZZO,69.563
FIRENZE S MARIA NOVELLA,ASSISI,167.131
FIRENZE S MARIA NOVELLA,ATTIGLIANO,182.564
FIRENZE S MARIA NOVELLA,AULLA LUNIGIANA,154.89
FIRENZE S MARIA NOVELLA,BADESSE,85.555
FIRENZE S MARIA NOVELLA,BARDONECCHIA,480.613
FIRENZE S MARIA NOVELLA,BARI CENTRALE,698.327
FIRENZE S MARIA NOVELLA,BERGAMO,314.4
FIRENZE S MARIA NOVELLA,BOLOGNA CENTRALE,93.01
FIRENZE S MARIA NOVELLA,BOLOGNA S RUFFILLO,85.249
FIRENZE S MARIA NOVELLA,BOLZANO,348.059
FIRENZE S MARIA NOVELLA,BORGO A BUGGIANO,50.533
FIRENZE S MARIA NOVELLA,BORGO S LORENZO,35.347
FIRENZE S MARIA NOVELLA,BORGO VAL DI TARO,192.913
FIRENZE S MARIA NOVELLA,BRENNERO,436.856
FIRENZE S MARIA NOVELLA,BRESCIA,265.745
FIRENZE S MARIA NOVELLA,BRISIGHELLA,88.894
FIRENZE S MARIA NOVELLA,BUCINE,51.215
FIRENZE S MARIA NOVELLA,CAMPIGLIA MARITTIMA,161.133
FIRENZE S MARIA NOVELLA,CAMPOMIGLIAIO,27.426
FIRENZE S MARIA NOVELLA,CAMUCIA CORTONA,94.092
FIRENZE S MARIA NOVELLA,CASCINA,64.803
FIRENZE S MARIA NOVELLA,CASTELFIORENTINO,46.649
FIRENZE S MARIA NOVELLA,CASTELLINA CH,79.25
FIRENZE S MARIA NOVELLA,CASTELLINA IN CHIANTI MONTERIGGIONI,79.25
FIRENZE S MARIA NOVELLA,CASTIGLION FIORENTINO,84.127
FIRENZE S MARIA NOVELLA,CECINA,126.165
FIRENZE S MARIA NOVELLA,CERTALDO,55.258
FIRENZE S MARIA NOVELLA,CHIASSO,348.5
FIRENZE S MARIA NOVELLA,CHIUSI C T,119.56
FIRENZE S MARIA NOVELLA,CHIUSI CHIANCIANO TERME,119.56
FIRENZE S MARIA NOVELLA,COMPIOBBI,12.858
FIRENZE S MARIA NOVELLA,CONEGLIANO,288.219
FIRENZE S MARIA NOVELLA,CONTEA LONDA,35.172
FIRENZE S MARIA NOVELLA,CORBEZZI,51.059
FIRENZE S MARIA NOVELLA,CRESPINO DEL LAMONE,57.181
FIRENZE S MARIA NOVELLA,DICOMANO,38.63
FIRENZE S MARIA NOVELLA,ELLERA CORCIANO,133.046
FIRENZE S MARIA NOVELLA,EMPOLI,30.361
FIRENZE S MARIA NOVELLA,FAENZA,103.026
FIRENZE S MARIA NOVELLA,FIESOLE CALDINE,9.384
