partenza,arrivo,km,origine_stima
CESENA,BOLOGNA CENTRALE,84.06,cammino
CESENA,FAENZA,33.613,cammino
CESENA,IMOLA,48.662,cammino
CESENA,MILANO CENTRALE,496.599,cammino
CESENA,PARMA,388.336,cammino
CESENA,PIACENZA,425.204,cammino
CESENA,RIMINI,28.445,adiacenti
CESENATICO,BOLOGNA CENTRALE,112.542,cammino
CESENATICO,MILANO CENTRALE,525.081,cammino
CESENATICO,PESARO,54.689,cammino
CESENATICO,RAVENNA,28.622,cammino
CESENATICO,RIMINI,21.289,cammino
CEVA,CARMAGNOLA,73.2,cammino
CEVA,CAVALLERMAGGIORE,57.07,cammino
CEVA,FOSSANO,38.16,cammino
CEVA,MONDOVI,19.17,adiacenti
CEVA,S GIUSEPPE DI CAIRO,25.35,adiacenti
CEVA,SAVONA,45.64,cammino
CEVA,TORINO PORTA NUOVA,101.6,cammino
CHIAVARI,GENOVA BRIGNOLE,35.095,cammino
CHIAVARI,MILANO CENTRALE,207.621,cammino
CHIAVARI,PISA CENTRALE,123.577,cammino
CHIAVARI,ROMA TERMINI,456.904,cammino
CHIAVARI,SAVONA,85.129,cammino
CHIERI,MONCALIERI,13.58,cammino
CHIERI,TORINO LINGOTTO,17.27,cammino
CHIERI,TORINO PORTA SUSA,23.12,cammino
CHIERI,TORINO STURA,30.12,cammino
CHIERI,TROFARELLO,8.56,adiacenti
CHIOMONTE,TORINO PORTA NUOVA,59.47,cammino
CHIUSI C T,ALVIANO,59.124,cammino
CHIUSI C T,ARBIA,79.234,cammino
CHIUSI C T,AREZZO,63.191,cammino
CHIUSI C T,ASCIANO,57.219,cammino
CHIUSI C T,ATTIGLIANO,68.142,cammino
CHIUSI C T,BOLOGNA CENTRALE,231.74,cammino
CHIUSI C T,CASTELLINA CH,103.095,cammino
CHIUSI C T,CERTALDO,127.555,cammino
CHIUSI C T,COMPIOBBI,134.686,cammino
CHIUSI C T,EMPOLI,151.919,cammino
CHIUSI C T,FIGLINE VALDARNO,107.015,cammino
CHIUSI C T,FIRENZE CASTELLO,140.173,cammino
CHIUSI C T,FIRENZE RIFREDI,137.555,cammino
CHIUSI C T,FIRENZE S MARIA NOVELLA,136.83,cammino
CHIUSI C T,FOLIGNO,110.763,cammino
CHIUSI C T,GRANAIOLO,141.867,cammino
CHIUSI C T,MONTEPULCIANO,18.762,adiacenti
CHIUSI C T,ORTE,81.778,cammino
CHIUSI C T,ORVIETO,39.431,cammino
CHIUSI C T,PARMA,375.323,cammino
CHIUSI C T,PERUGIA,71.124,cammino
CHIUSI C T,PISTOIA,168.257,cammino
CHIUSI C T,POGGIBONSI,114.01,cammino
CHIUSI C T,PONTASSIEVE,127.069,cammino
CHIUSI C T,PONTE A ELSA,147.707,cammino
CHIUSI C T,PRATO CENTRALE,151.198,cammino
CHIUSI C T,RAPOLANO TERME,50.983,cammino
CHIUSI C T,RIGOMAGNO,38.387,cammino
CHIUSI C T,ROMA TERMINI,162.277,cammino
CHIUSI C T,ROMA TIBURTINA,157.757,cammino
CHIUSI C T,SIENA,88.957,cammino
CHIUSI C T,SINALUNGA,32.6,cammino
CHIVASSO,AIRASCA,49.565,cammino
CHIVASSO,ALESSANDRIA,81.115,cammino
CHIVASSO,ASTI,80.65,cammino
CHIVASSO,BIELLA S PAOLO,57.4,cammino
CHIVASSO,BORGO REVEL,10.55,cammino
CHIVASSO,BORGO S MARTINO,55.535,cammino
CHIVASSO,CALUSO,13.92,cammino
CHIVASSO,CANDIA CANAVESE,17.42,cammino
CHIVASSO,CANDIOLO,39.56,cammino
CHIVASSO,CASALE MONFERRATO,48.395,cammino
CHIVASSO,CASALE POPOLO,44.905,cammino
CHIVASSO,CRESCENTINO,17.64,cammino
CHIVASSO,FONTANETTO PO,24.06,cammino
CHIVASSO,GIAROLE,60.215,cammino
CHIVASSO,IVREA,32.46,adiacenti
CHIVASSO,LIVORNO FERRARIS,18.15,cammino
CHIVASSO,MILANO CENTRALE,123.67,cammino
CHIVASSO,MILANO PORTA GARIBALDI,119.91,cammino
CHIVASSO,MONCALIERI SANGONE,32.475,cammino
CHIVASSO,MORANO SUL PO,38.5,cammino
CHIVASSO,NICHELINO,34.775,cammino
CHIVASSO,NONE,44.935,cammino
CHIVASSO,NOVARA,71.69,cammino
CHIVASSO,PINEROLO,62.215,cammino
CHIVASSO,PINEROLO OLIMPICA,61.27,cammino
CHIVASSO,PISCINA DI PINEROLO,54.195,cammino
CHIVASSO,SANTHIA,30.68,adiacenti
CHIVASSO,STRAMBINO,23.38,cammino
CHIVASSO,TORINO LINGOTTO,29.19,cammino
CHIVASSO,TORINO PORTA NUOVA,28.38,cammino
CHIVASSO,TORINO PORTA SUSA,23.35,adiacenti
CHIVASSO,TORINO STURA,16.34,cammino
CHIVASSO,TRINO VERCELLESE,32.43,cammino
CHIVASSO,VALENZA,67.175,cammino
CHIVASSO,VERCELLI,49.8,cammino
CIVITAVECCHIA,GENOVA P PRINCIPE,416.608,cammino
CIVITAVECCHIA,GROSSETO,107.122,cammino
CIVITAVECCHIA,MACCARESE FREGENE,46.533,cammino
CIVITAVECCHIA,MARINA DI CERVETERI,26.401,cammino
CIVITAVECCHIA,MILANO CENTRALE,539.953,cammino
CIVITAVECCHIA,PISA CENTRALE,255.312,cammino
CIVITAVECCHIA,ROMA OSTIENSE,70.902,cammino
CIVITAVECCHIA,ROMA S PIETRO,66.091,cammino
CIVITAVECCHIA,ROMA TERMINI,78.015,cammino
CIVITAVECCHIA,ROMA TIBURTINA,82.535,cammino
CIVITAVECCHIA,ROMA TRASTEVERE,69.42,cammino
CIVITAVECCHIA,ROMA TUSCOLANA,74.587,cammino
CIVITAVECCHIA,S MARINELLA,8.906,adiacenti
CIVITAVECCHIA,SESTRI LEVANTE,371.429,cammino
CIVITAVECCHIA,TARQUINIA,19.884,adiacenti
CIVITAVECCHIA,TORINO PORTA NUOVA,575.434,cammino
CIVITAVECCHIA,VENTIMIGLIA,563.558,cammino
COCCAGLIO,BERGAMO,29.573,cammino
COCCAGLIO,BRESCIA,19.126,cammino
CODOGNO,BOLOGNA CENTRALE,367.543,cammino
CODOGNO,CASALPUSTERLENGO,4.857,adiacenti
CODOGNO,CREMONA,81.124,cammino
CODOGNO,LODI,23.72,cammino
CODOGNO,MILANO CENTRALE,59.266,cammino
CODOGNO,MILANO LAMBRATE,55.486,cammino
CODOGNO,MILANO PORTA GARIBALDI,80.746,cammino
CODOGNO,MILANO ROGOREDO,49.695,cammino
CODOGNO,PARMA,94.923,cammino
CODOGNO,PAVIA,78.3,cammino
CODOGNO,PIACENZA,12.129,adiacenti
CODOGNO,RIMINI,465.778,cammino
COGOLETO,ALASSIO,61.161,cammino
COGOLETO,ALBENGA,55.021,cammino
COGOLETO,GENOVA BRIGNOLE,32.363,cammino
COGOLETO,GENOVA NERVI,40.58,cammino
COGOLETO,GENOVA P PRINCIPE,29.739,cammino
COGOLETO,RECCO,49.813,cammino
COGOLETO,SAVONA,17.671,cammino
COGOLETO,SESTRI LEVANTE,74.918,cammino
COGOLETO,VENTIMIGLIA,117.211,cammino
COLLECCHIO,BERCETO,33.279,cammino
COLLECCHIO,PARMA,11.766,cammino
COLLEGNO,BARDONECCHIA,76.42,cammino
COLLEGNO,BUSSOLENO,35.74,cammino
COLLEGNO,S ANTONINO VAIE,24.77,cammino
COLLEGNO,SALBERTRAND,59.39,cammino
COLLEGNO,SUSA,43.27,cammino
COLLEGNO,TORINO PORTA NUOVA,9.79,adiacenti
COMPIOBBI,AREZZO,71.495,cammino
COMPIOBBI,FIRENZE S MARIA NOVELLA,12.154,cammino
COMPIOBBI,PISTOIA,43.581,cammino
CONTEA LONDA,FIRENZE RIFREDI,35.183,cammino
CONTEA LONDA,FIRENZE S MARIA NOVELLA,34.458,cammino
CONTEA LONDA,PONTASSIEVE,14.687,cammino
CORBEZZI,FIRENZE S MARIA NOVELLA,51.044,cammino
CORBEZZI,PISTOIA,17.578,cammino
CORBEZZI,PORRETTA TERME,22.273,cammino
CORNIGLIA,GENOVA BRIGNOLE,74.176,cammino
CORNIGLIA,LEVANTO,10.327,adiacenti
CORNIGLIA,SARZANA,24.843,cammino
CORNIGLIA,SESTRI LEVANTE,31.621,cammino
COSSATO,NOVARA,40.35,cammino
CREMONA,BERGAMO,98.905,cammino
CREMONA,BRESCIA,50.206,cammino
CREMONA,BUSSETO,21.224,cammino
CREMONA,CASALPUSTERLENGO,85.981,cammino
CREMONA,CASTELVETRO,6.091,adiacenti
CREMONA,CODOGNO,81.124,cammino
CREMONA,FIDENZA,33.881,cammino
CREMONA,FORNOVO,58.598,cammino
CREMONA,LODI,104.844,cammino
CREMONA,MANERBIO,28.228,cammino
CREMONA,MILANO CENTRALE,140.39,cammino
CREMONA,MILANO LAMBRATE,136.61,cammino
CREMONA,MILANO PORTA GARIBALDI,161.87,cammino
CREMONA,MILANO ROGOREDO,130.819,cammino
CREMONA,PARMA,81.561,cammino
CREMONA,PAVIA,159.424,cammino
CREMONA,PISA CENTRALE,212.013,cammino
CREMONA,VEROLANUOVA,22.949,adiacenti
CRESCENTINO,ALESSANDRIA,63.475,cammino
CUNEO,BORGO S DALMAZZO,8.58,adiacenti
CUNEO,BREIL SUR ROYA,74.245,cammino
CUNEO,CARMAGNOLA,60.18,cammino
CUNEO,CAVALLERMAGGIORE,44.05,cammino
CUNEO,CENTALLO,13.2,adiacenti
CUNEO,FOSSANO,25.14,cammino
CUNEO,LIMONE,28.33,adiacenti
CUNEO,RACCONIGI,51.1,cammino
CUNEO,ROBILANTE,13.08,cammino
CUNEO,SAVIGLIANO,37.3,cammino
CUNEO,TORINO LINGOTTO,84.26,cammino
CUNEO,TORINO PORTA NUOVA,88.58,cammino
CUNEO,TROFARELLO,75.55,cammino
CUNEO,VENTIMIGLIA,95.9,cammino
CUNEO,VERNANTE,19.5,adiacenti
DEGO,ALESSANDRIA,72.01,cammino
DEIVA MARINA,GENOVA BRIGNOLE,54.523,cammino
DEIVA MARINA,SARZANA,44.496,cammino
DEIVA MARINA,SAVONA,104.557,cammino
DEIVA MARINA,SESTRI LEVANTE,11.968,cammino
DICOMANO,FIRENZE RIFREDI,38.611,cammino
DICOMANO,FIRENZE S MARIA NOVELLA,37.886,cammino
DICOMANO,PONTASSIEVE,18.115,cammino
DOMODOSSOLA,ARONA,55.545,cammino
DOMODOSSOLA,BOLOGNA CENTRALE,525.661,cammino
DOMODOSSOLA,BORGOMANERO,56.46,cammino
DOMODOSSOLA,BUSTO ARSIZIO,88.145,cammino
DOMODOSSOLA,CALTIGNAGA,78.895,cammino
DOMODOSSOLA,CRESSA FONTANETO,63.0,cammino
DOMODOSSOLA,GALLARATE,81.045,cammino
DOMODOSSOLA,GOZZANO,51.15,cammino
DOMODOSSOLA,GRAVELLONA TOCE,28.12,cammino
DOMODOSSOLA,MILANO CENTRALE,123.545,cammino
DOMODOSSOLA,MILANO LAMBRATE,127.325,cammino
DOMODOSSOLA,MILANO PORTA GARIBALDI,119.785,cammino
DOMODOSSOLA,NOVARA,86.865,cammino
DOMODOSSOLA,OMEGNA,35.46,cammino
DOMODOSSOLA,PIEVE VERGONTE,13.09,cammino
DOMODOSSOLA,PREMOSELLO CHIOVENDA,15.53,adiacenti
DOMODOSSOLA,SESTO CALENDE,64.055,cammino
DOMODOSSOLA,SOMMA LOMBARDO,73.565,cammino
DOMODOSSOLA,STRESA,38.21,cammino
DOMODOSSOLA,VERBANIA PALLANZA,29.47,adiacenti
ELLERA CORCIANO,FIRENZE S MARIA NOVELLA,140.891,cammino
ELLERA CORCIANO,PERUGIA,10.053,adiacenti
EMPOLI,ARBIA,72.685,cammino
EMPOLI,ASCIANO,94.7,cammino
EMPOLI,CASTELLINA CH,49.365,cammino
EMPOLI,CERTALDO,24.905,cammino
EMPOLI,CHIUSI C T,151.919,cammino
EMPOLI,FIRENZE CASTELLO,27.311,cammino
EMPOLI,FIRENZE RIFREDI,27.471,adiacenti
EMPOLI,FIRENZE S MARIA NOVELLA,30.235,adiacenti
EMPOLI,FOLLONICA,153.327,cammino
EMPOLI,GRANAIOLO,10.593,adiacenti
EMPOLI,GROSSETO,163.639,cammino
EMPOLI,LIVORNO CENTRALE,67.521,cammino
EMPOLI,MILANO CENTRALE,331.667,cammino
EMPOLI,ORBETELLO,201.542,cammino
EMPOLI,P M BADESSE,55.647,cammino
EMPOLI,PISA CENTRALE,47.026,cammino
EMPOLI,POGGIBONSI,38.45,cammino
EMPOLI,PONTE A ELSA,4.753,adiacenti
EMPOLI,PONTREMOLI,145.024,cammino
EMPOLI,RAPOLANO TERME,100.936,cammino
EMPOLI,RHO,348.017,cammino
EMPOLI,ROMA OSTIENSE,321.309,cammino
EMPOLI,ROMA TERMINI,314.196,cammino
EMPOLI,SIENA,62.962,adiacenti
EMPOLI,TORINO PORTA NUOVA,367.148,cammino
EMPOLI,VIAREGGIO,69.268,cammino
EQUI TERME,PISA CENTRALE,93.221,cammino
FABRO FICULLE,ROMA TERMINI,145.399,cammino
FAENZA,ANCONA,155.096,cammino
FAENZA,BOLOGNA CENTRALE,50.447,cammino
FAENZA,BRISIGHELLA,13.03,adiacenti
FAENZA,CAMPOMIGLIAIO,74.355,cammino
FAENZA,CESENA,33.613,cammino
FAENZA,FIESOLE CALDINE,92.491,cammino
FAENZA,FIRENZE S MARIA NOVELLA,101.084,cammino
FAENZA,IMOLA,15.049,cammino
FAENZA,MARRADI,34.345,cammino
FAENZA,MILANO PORTA GARIBALDI,484.466,cammino
FAENZA,PARMA,354.723,cammino
FAENZA,PESARO,95.458,cammino
FAENZA,PIACENZA,391.591,cammino
FAENZA,RAVENNA,33.473,adiacenti
FAENZA,RIMINI,62.058,cammino
FAENZA,RUSSI,17.089,cammino
FAENZA,S CASSIANO,25.022,cammino
FAENZA,S PIERO A SIEVE,71.23,cammino
FANO,ANCONA,47.156,cammino
FANO,BOLOGNA CENTRALE,158.368,cammino
FANO,MILANO CENTRALE,570.926,cammino
FANO,PARMA,462.663,cammino
FANO,PIACENZA,499.531,cammino
FANO,RIMINI,45.882,cammino
FIDENZA,ANCONA,511.573,cammino
FIDENZA,BERGAMO,132.786,cammino
FIDENZA,BOLOGNA CENTRALE,320.3,cammino
FIDENZA,BRESCIA,84.087,cammino
FIDENZA,BUSSETO,12.657,adiacenti
FIDENZA,CASTELVETRO,27.79,cammino
FIDENZA,CREMONA,33.881,cammino
FIDENZA,GENOVA BRIGNOLE,205.1,cammino
FIDENZA,GENOVA P PRINCIPE,207.724,cammino
FIDENZA,LIVORNO CENTRALE,198.627,cammino
FIDENZA,MASSA CENTRO,135.697,cammino
FIDENZA,MILANO CENTRALE,106.509,cammino
FIDENZA,MILANO LAMBRATE,102.729,cammino
FIDENZA,MILANO PORTA GARIBALDI,127.989,cammino
FIDENZA,MONTELLO GORLAGO,121.612,cammino
FIDENZA,PARMA,47.68,cammino
FIDENZA,PESARO,451.935,cammino
FIDENZA,PIACENZA,35.114,adiacenti
FIDENZA,PISA CENTRALE,178.132,cammino
FIDENZA,RIMINI,418.535,cammino
FIDENZA,SARZANA,118.478,cammino
FIDENZA,VOGHERA,150.403,cammino
FIESOLE CALDINE,FAENZA,92.491,cammino
FIESOLE CALDINE,FIRENZE S MARIA NOVELLA,8.593,cammino
FIGLINE VALDARNO,AREZZO,43.824,cammino
FIGLINE VALDARNO,CHIUSI C T,107.015,cammino
FIGLINE VALDARNO,FIRENZE CASTELLO,33.158,cammino
FIGLINE VALDARNO,FIRENZE S MARIA NOVELLA,29.815,cammino
FIGLINE VALDARNO,FOLIGNO,160.768,cammino
FIGLINE VALDARNO,ORTE,188.793,cammino
FIGLINE VALDARNO,PERUGIA,121.129,cammino
FIGLINE VALDARNO,PISTOIA,61.242,cammino
FIGLINE VALDARNO,PRATO CENTRALE,44.183,cammino
FIGLINE VALDARNO,ROMA TERMINI,269.292,cammino
FIGLINE VALDARNO,ROMA TIBURTINA,264.772,cammino
FILATTIERA,PARMA,84.971,cammino
FILATTIERA,PISA CENTRALE,91.407,cammino
FIORENZUOLA,ANCONA,525.048,cammino
FIORENZUOLA,BOLOGNA CENTRALE,333.775,cammino
FIORENZUOLA,LIVORNO CENTRALE,212.102,cammino
FIORENZUOLA,PESARO,465.41,cammino
FIORENZUOLA,RIMINI,432.01,cammino
FIRENZE CASTELLO,AREZZO,76.982,cammino
FIRENZE CASTELLO,CHIUSI C T,140.173,cammino
FIRENZE CASTELLO,EMPOLI,27.311,cammino
FIRENZE CASTELLO,FIGLINE VALDARNO,33.158,cammino
FIRENZE CASTELLO,FIRENZE S MARIA NOVELLA,5.382,cammino
FIRENZE CASTELLO,LUCCA,71.865,cammino
FIRENZE CASTELLO,PISA CENTRALE,74.337,cammino
FIRENZE CASTELLO,PISTOIA,28.084,cammino
FIRENZE CASTELLO,PONTASSIEVE,23.114,cammino
FIRENZE CASTELLO,PRATO CENTRALE,11.025,cammino
FIRENZE CASTELLO,VIAREGGIO,94.893,cammino
FIRENZE RIFREDI,AREZZO,74.364,cammino
FIRENZE RIFREDI,AULLA LUNIGIANA,152.527,cammino
FIRENZE RIFREDI,BARDONECCHIA,480.829,cammino
FIRENZE RIFREDI,BOLOGNA CENTRALE,94.185,cammino
FIRENZE RIFREDI,CHIUSI C T,137.555,cammino
FIRENZE RIFREDI,EMPOLI,27.471,adiacenti
FIRENZE RIFREDI,FIGLINE VALDARNO,30.54,cammino
FIRENZE RIFREDI,FIRENZE S MARIA NOVELLA,2.764,adiacenti
FIRENZE RIFREDI,INCISA,34.903,cammino
FIRENZE RIFREDI,LIVORNO CENTRALE,94.992,cammino
FIRENZE RIFREDI,LUCCA,74.483,cammino
FIRENZE RIFREDI,MILANO CENTRALE,359.138,cammino
FIRENZE RIFREDI,PESCIA,51.368,cammino
FIRENZE RIFREDI,PISA CENTRALE,74.497,cammino
FIRENZE RIFREDI,PISTOIA,30.702,cammino
FIRENZE RIFREDI,POGGIBONSI,65.921,cammino
FIRENZE RIFREDI,PONTASSIEVE,20.496,cammino
FIRENZE RIFREDI,PONTREMOLI,172.495,cammino
FIRENZE RIFREDI,PRATO CENTRALE,13.643,adiacenti
FIRENZE RIFREDI,ROMA TERMINI,299.832,cammino
FIRENZE RIFREDI,SARZANA,134.151,cammino
FIRENZE RIFREDI,SIENA,90.433,cammino
FIRENZE RIFREDI,TORINO PORTA NUOVA,394.619,cammino
FIRENZE RIFREDI,VIAREGGIO,96.739,cammino
FIRENZE S MARIA NOVELLA,ALBINIA,225.248,cammino
FIRENZE S MARIA NOVELLA,ALTOPASCIO,63.265,cammino
FIRENZE S MARIA NOVELLA,ANCONA,256.18,cammino
FIRENZE S MARIA NOVELLA,AREZZO,73.639,cammino
FIRENZE S MARIA NOVELLA,ASSISI,174.914,cammino
FIRENZE S MARIA NOVELLA,ATTIGLIANO,204.972,cammino
FIRENZE S MARIA NOVELLA,AULLA LUNIGIANA,155.291,cammino
FIRENZE S MARIA NOVELLA,BARDONECCHIA,483.593,cammino
FIRENZE S MARIA NOVELLA,BERGAMO,388.179,cammino
FIRENZE S MARIA NOVELLA,BOLOGNA CENTRALE,96.949,cammino
FIRENZE S MARIA NOVELLA,BORGO A BUGGIANO,50.476,cammino
FIRENZE S MARIA NOVELLA,BRESCIA,339.48,cammino
FIRENZE S MARIA NOVELLA,BRISIGHELLA,88.054,cammino
FIRENZE S MARIA NOVELLA,BUCINE,50.506,cammino
FIRENZE S MARIA NOVELLA,CAMPOMIGLIAIO,26.729,cammino
FIRENZE S MARIA NOVELLA,CAMUCIA CORTONA,101.923,cammino
FIRENZE S MARIA NOVELLA,CASCINA,64.722,cammino
FIRENZE S MARIA NOVELLA,CASTELFIORENTINO,46.507,cammino
FIRENZE S MARIA NOVELLA,CASTELLINA CH,79.6,cammino
FIRENZE S MARIA NOVELLA,CECINA,131.411,cammino
FIRENZE S MARIA NOVELLA,CERTALDO,55.14,cammino
FIRENZE S MARIA NOVELLA,CHIUSI C T,136.83,cammino
FIRENZE S MARIA NOVELLA,COMPIOBBI,12.154,cammino
FIRENZE S MARIA NOVELLA,CONTEA LONDA,34.458,cammino
FIRENZE S MARIA NOVELLA,CORBEZZI,51.044,cammino
FIRENZE S MARIA NOVELLA,DICOMANO,37.886,cammino
FIRENZE S MARIA NOVELLA,ELLERA CORCIANO,140.891,cammino
FIRENZE S MARIA NOVELLA,EMPOLI,30.235,adiacenti
FIRENZE S MARIA NOVELLA,FAENZA,101.084,cammino
FIRENZE S MARIA NOVELLA,FIESOLE CALDINE,8.593,cammino
FIRENZE S MARIA NOVELLA,FIGLINE VALDARNO,29.815,cammino
FIRENZE S MARIA NOVELLA,FIRENZE CASTELLO,5.382,cammino
FIRENZE S MARIA NOVELLA,FIRENZE RIFREDI,2.764,adiacenti
FIRENZE S MARIA NOVELLA,FOLIGNO,190.583,cammino
FIRENZE S MARIA NOVELLA,FOLLONICA,183.562,cammino
FIRENZE S MARIA NOVELLA,GAVORRANO,197.401,cammino
FIRENZE S MARIA NOVELLA,GENOVA P PRINCIPE,238.557,cammino
FIRENZE S MARIA NOVELLA,GRANAIOLO,40.828,cammino
FIRENZE S MARIA NOVELLA,GROSSETO,193.874,cammino
FIRENZE S MARIA NOVELLA,INCISA,34.178,cammino
FIRENZE S MARIA NOVELLA,LIVORNO CENTRALE,97.756,cammino
FIRENZE S MARIA NOVELLA,LUCCA,77.247,cammino
FIRENZE S MARIA NOVELLA,MAGIONE,129.619,cammino
FIRENZE S MARIA NOVELLA,MARRADI,66.739,cammino
FIRENZE S MARIA NOVELLA,MASSA CENTRO,119.696,cammino
FIRENZE S MARIA NOVELLA,MILANO CENTRALE,361.902,cammino
FIRENZE S MARIA NOVELLA,MONTALE AGLIANA,25.568,cammino
FIRENZE S MARIA NOVELLA,MONTORSOLI,14.373,cammino
FIRENZE S MARIA NOVELLA,NAVACCHIO,69.586,cammino
FIRENZE S MARIA NOVELLA,ORBETELLO,231.777,cammino
FIRENZE S MARIA NOVELLA,ORTE,218.608,cammino
FIRENZE S MARIA NOVELLA,ORVIETO,176.261,cammino
FIRENZE S MARIA NOVELLA,P M BADESSE,85.882,cammino
FIRENZE S MARIA NOVELLA,PARMA,253.639,cammino
FIRENZE S MARIA NOVELLA,PERUGIA,150.944,cammino
FIRENZE S MARIA NOVELLA,PESCIA,54.132,cammino
FIRENZE S MARIA NOVELLA,PIETRASANTA,109.042,cammino
FIRENZE S MARIA NOVELLA,PISA CENTRALE,77.261,adiacenti
FIRENZE S MARIA NOVELLA,PISA S ROSSORE,79.485,cammino
FIRENZE S MARIA NOVELLA,PISTOIA,33.466,cammino
FIRENZE S MARIA NOVELLA,POGGIBONSI,68.685,cammino
FIRENZE S MARIA NOVELLA,PONTASSIEVE,19.771,cammino
FIRENZE S MARIA NOVELLA,PONTE A ELSA,34.988,cammino
FIRENZE S MARIA NOVELLA,PONTICINO,60.682,cammino
FIRENZE S MARIA NOVELLA,PONTREMOLI,175.259,cammino
FIRENZE S MARIA NOVELLA,PORCARI,68.124,cammino
FIRENZE S MARIA NOVELLA,PORRETTA TERME,73.317,cammino
FIRENZE S MARIA NOVELLA,PRATO CENTRALE,16.407,cammino
FIRENZE S MARIA NOVELLA,RAVENNA,134.557,cammino
FIRENZE S MARIA NOVELLA,RHO,378.252,cammino
FIRENZE S MARIA NOVELLA,RIGNANO SULL ARNO REGGELLO,27.99,cammino
FIRENZE S MARIA NOVELLA,RIGOLI,88.686,cammino
FIRENZE S MARIA NOVELLA,RIMINI,163.142,cammino
FIRENZE S MARIA NOVELLA,ROMA TERMINI,299.107,cammino
FIRENZE S MARIA NOVELLA,ROMA TIBURTINA,294.587,cammino
FIRENZE S MARIA NOVELLA,RONTA,43.446,cammino
FIRENZE S MARIA NOVELLA,RUFINA,27.298,cammino
FIRENZE S MARIA NOVELLA,RUSSI,118.173,cammino
FIRENZE S MARIA NOVELLA,S CASSIANO,76.062,cammino
FIRENZE S MARIA NOVELLA,S ELLERO,24.857,cammino
FIRENZE S MARIA NOVELLA,S GIULIANO TERME,85.559,cammino
FIRENZE S MARIA NOVELLA,S PIERO A SIEVE,29.854,cammino
FIRENZE S MARIA NOVELLA,S VINCENZO,155.775,cammino
FIRENZE S MARIA NOVELLA,SARZANA,136.915,cammino
FIRENZE S MARIA NOVELLA,SESTRI LEVANTE,193.378,cammino
FIRENZE S MARIA NOVELLA,SIENA,93.197,cammino
FIRENZE S MARIA NOVELLA,SPELLO,185.656,cammino
FIRENZE S MARIA NOVELLA,TASSIGNANO,72.059,cammino
FIRENZE S MARIA NOVELLA,TORINO LINGOTTO,393.063,cammino
FIRENZE S MARIA NOVELLA,TORINO PORTA NUOVA,397.383,cammino
FIRENZE S MARIA NOVELLA,VADA,125.494,cammino
FIRENZE S MARIA NOVELLA,VAGLIA,22.739,cammino
FIRENZE S MARIA NOVELLA,VENTIMIGLIA,385.507,cammino
FIRENZE S MARIA NOVELLA,VEZZANO LIGURE,144.327,cammino
FIRENZE S MARIA NOVELLA,VIAREGGIO,99.503,cammino
FIRENZE S MARIA NOVELLA,VICCHIO,41.671,cammino
FOLIGNO,ANCONA,435.11,cammino
FOLIGNO,AREZZO,116.944,cammino
FOLIGNO,ASSISI,15.669,cammino
FOLIGNO,BASTIA,19.066,cammino
FOLIGNO,BOLOGNA CENTRALE,285.493,cammino
FOLIGNO,CHIUSI C T,110.763,cammino
FOLIGNO,ELLERA CORCIANO,49.692,cammino
FOLIGNO,FIGLINE VALDARNO,160.768,cammino
FOLIGNO,FIRENZE S MARIA NOVELLA,190.583,cammino
FOLIGNO,MAGIONE,60.964,cammino
FOLIGNO,MILANO CENTRALE,550.446,cammino
FOLIGNO,MILANO ROGOREDO,540.875,cammino
FOLIGNO,ORTE,192.541,cammino
FOLIGNO,ORVIETO,150.194,cammino
FOLIGNO,PERUGIA,39.639,cammino
FOLIGNO,PESARO,375.472,cammino
FOLIGNO,PONTASSIEVE,180.822,cammino
FOLIGNO,ROMA TERMINI,273.04,cammino
FOLIGNO,ROMA TIBURTINA,268.52,cammino
FOLIGNO,SPELLO,4.927,adiacenti
FOLLONICA,FIRENZE S MARIA NOVELLA,183.562,cammino
FOLLONICA,GROSSETO,41.889,adiacenti
FOLLONICA,MILANO CENTRALE,390.942,cammino
FOLLONICA,PISA CENTRALE,106.301,cammino
FOLLONICA,ROMA TERMINI,227.026,cammino
FONTANETTO PO,ALESSANDRIA,57.055,cammino
FONTANETTO PO,CHIVASSO,24.06,cammino
FORLI,ANCONA,139.368,cammino
FORLI,BOLOGNA CENTRALE,66.175,cammino
FORLI,IMOLA,30.777,cammino
FORLI,PARMA,370.451,cammino
FORLI,PESARO,79.73,cammino
FORLI,PIACENZA,407.319,cammino
FORLI,RIMINI,46.33,cammino
FORNACI DI BARGA,AULLA LUNIGIANA,58.061,cammino
FORNACI DI BARGA,BAGNI DI LUCCA,8.545,adiacenti
FORNACI DI BARGA,LUCCA,31.852,cammino
FORNACI DI BARGA,PISA CENTRALE,54.985,cammino
FORNACI DI BARGA,S GIULIANO TERME,46.687,cammino
FORNACI DI BARGA,S PIETRO A VICO,26.618,cammino
FORNACI DI BARGA,VIAREGGIO,54.88,cammino
FORNOVO,BERGAMO,157.503,cammino
FORNOVO,CREMONA,58.598,cammino
FORNOVO,LIVORNO CENTRALE,173.91,cammino
FORNOVO,PARMA,22.963,cammino
FORNOVO,PISA CENTRALE,153.415,cammino
FORNOVO,PONTREMOLI,55.417,cammino
FORNOVO,VIAREGGIO,131.173,cammino
FOSSANO,BORGO S DALMAZZO,33.72,cammino
FOSSANO,BREIL SUR ROYA,99.385,cammino
FOSSANO,CARMAGNOLA,35.04,cammino
FOSSANO,CAVALLERMAGGIORE,18.91,cammino
FOSSANO,CENGIO,54.76,cammino
