partenza,arrivo,km
BRINDISI,ORIA,30.18
BRINDISI,REGGIO CALABRIA CENTRALE,440.952
BRINDISI,ROMA TERMINI,589.53
BRINDISI,TARANTO,69.169
BRINDISI,TORINO PORTA NUOVA,1091.098
BRINDISI,VENEZIA S LUCIA,881.087
BRINDISI,VENTIMIGLIA,1175.845
BRISIGHELLA,BORGO S LORENZO,53.32
BRISIGHELLA,FAENZA,13.014
BRISIGHELLA,FIRENZE S MARIA NOVELLA,87.65
BRISIGHELLA,MARRADI PALAZZUOLO SUL SENIO,21.316
BRISIGHELLA,RIMINI,74.994
BROLO FICARRA,MESSINA CENTRALE,77.265
BRONI,BRESSANA BOTTARONE,12.952
BRONI,MILANO GRECO PIRELLI,63.498
BRONI,MILANO LAMBRATE,59.618
BRONI,MILANO PORTA GARIBALDI,65.306
BRONI,PAVIA,25.227
BRONI,PIACENZA,37.018
BRONI,RIMINI,295.579
BRONI,STRADELLA,3.795
BRONZOLO,ALA,84.611
BRONZOLO,BOLOGNA CENTRALE,245.683
BRONZOLO,BOLZANO,10.937
BRONZOLO,PERI,98.933
BRONZOLO,ROVERETO,68.075
BRONZOLO,TRENTO,44.502
BRONZOLO,VERONA PORTA NUOVA,135.185
BRUNICO,BOLZANO,81.035
BRUNICO,FORTEZZA,32.414
BRUNICO,MERANO,113.996
BRUNICO,S CANDIDO,32.067
BUCCINO S GREGORIO MAGNO,BATTIPAGLIA,38.432
BUCCINO S GREGORIO MAGNO,CAMPAGNA SERRE PERSANO,26.227
BUCCINO S GREGORIO MAGNO,NAPOLI CENTRALE,109.421
BUCCINO S GREGORIO MAGNO,SALERNO,58.135
BUCCINO S GREGORIO MAGNO,SICIGNANO DEGLI ALBURNI,7.622
BUDOIA POLCENIGO,MANIAGO,21.798
BUDOIA POLCENIGO,SACILE,10.419
BUDRIO,BOLOGNA CENTRALE,101.231
BUDRIO,BOLOGNA S VITALE,103.904
BUDRIO,PORTOMAGGIORE,30.988
BUONCONVENTO,CERTALDO,66.933
BUONCONVENTO,EMPOLI,91.791
BUONCONVENTO,FIRENZE S MARIA NOVELLA,122.341
BUONCONVENTO,GRANAIOLO,81.253
BUONCONVENTO,GROSSETO,71.861
BUONCONVENTO,MONTERONI D ARBIA,12.553
BUONCONVENTO,POGGIBONSI S GIMIGNANO,53.922
BUONCONVENTO,PONTE A ELSA,87.082
BUONCONVENTO,SIENA,28.781
BUONCONVENTO,SIENA ZONA INDUSTRIALE,18.163
BUSALLA,ARQUATA SCRIVIA,15.737
BUSALLA,GENOVA BOLZANETO,14.482
BUSALLA,GENOVA BRIGNOLE,23.482
BUSALLA,GENOVA PIAZZA PRINCIPE,20.843
BUSALLA,GENOVA PONTEDECIMO,10.42
BUSALLA,GENOVA RIVAROLO,17.261
BUSALLA,GENOVA SAMPIERDARENA,19.949
BUSALLA,PIACENZA,114.846
BUSALLA,RIMINI,373.407
BUSCHE LENTIAI MEL,CORNUDA,34.308
BUSCHE LENTIAI MEL,PADOVA,88.126
BUSSETO,CREMONA,21.222
BUSSETO,FIDENZA,12.671
BUSSETO,PARMA,34.684
BUSSI,ROMA TIBURTINA,189.122
BUSSI,SULMONA,18.5
BUSSOLENO,AVIGLIANA,21.43
BUSSOLENO,BARDONECCHIA,40.671
BUSSOLENO,COLLEGNO,35.74
BUSSOLENO,SALBERTRAND,23.643
BUSSOLENO,SUSA,7.526
BUSSOLENO,TORINO PORTA NUOVA,45.534
BUSTO ARSIZIO,ARONA,32.729
BUSTO ARSIZIO,CANTELLO GAGGIOLO,36.349
BUSTO ARSIZIO,CASSANO D ADDA,59.151
BUSTO ARSIZIO,DOMODOSSOLA,88.287
BUSTO ARSIZIO,MILANO CENTRALE,35.359
BUSTO ARSIZIO,MILANO CERTOSA,26.833
BUSTO ARSIZIO,MILANO LAMBRATE,35.805
BUSTO ARSIZIO,MILANO PORTA GARIBALDI,31.582
BUSTO ARSIZIO,PARABIAGO,9.995
BUSTO ARSIZIO,PIOLTELLO LIMITO,44.309
BUSTO ARSIZIO,PORTO CERESIO,39.909
BUSTO ARSIZIO,TREVIGLIO,65.062
BUSTO ARSIZIO,TRIESTE CENTRALE,428.079
BUSTO ARSIZIO,VARESE,25.669
BUSTO ARSIZIO,VENTIMIGLIA,296.871
BUSTO ARSIZIO NORD,MILANO BOVISA,31.449
BUSTO ARSIZIO NORD,MILANO CADORNA,35.614
BUSTO ARSIZIO NORD,MILANO CENTRALE,37.998
BUSTO ARSIZIO NORD,MILANO PORTA GARIBALDI,34.221
BUSTO ARSIZIO NORD,MILANO QUARTO OGGIARO,29.275
BUTTAPIETRA,BOLOGNA CENTRALE,102.164
BUTTAPIETRA,ROVIGO,81.966
CAGLIARI,ABBASANTA,129.074
CAGLIARI,ARDARA,214.214
CAGLIARI,BERCHIDDA,237.994
CAGLIARI,BORORE,139.943
CAGLIARI,CAGLIARI ELMAS,7.928
CAGLIARI,CARBONIA SERBARIU,67.164
CAGLIARI,DECIMOMANNU,16.241
CAGLIARI,ELMAS AEROPORTO,6.222
CAGLIARI,GOLFO ARANCI,297.768
CAGLIARI,IGLESIAS,53.908
CAGLIARI,MACOMER,152.737
CAGLIARI,MARRUBIU TERRALBA ARBOREA,75.762
CAGLIARI,MONTI TELTI,254.328
CAGLIARI,OLBIA,276.504
CAGLIARI,OLBIA TERRANOVA,276.104
CAGLIARI,ORISTANO,93.03
CAGLIARI,OZIERI CHILIVANI,205.998
CAGLIARI,PABILLONIS,57.556
CAGLIARI,PAULILATINO,122.326
CAGLIARI,PLOAGHE,223.476
CAGLIARI,PORTO TORRES MARITTIMA,269.865
CAGLIARI,S ANNA,82.363
CAGLIARI,S GAVINO,49.621
CAGLIARI,SAMASSI SERRENTI,37.214
CAGLIARI,SANLURI STATO,44.087
CAGLIARI,SASSARI,250.523
CAGLIARI,SCALA GIOCCA,236.695
CAGLIARI,SERRAMANNA NURAMINIS,30.709
CAGLIARI,SILIQUA,29.724
CAGLIARI,SOLARUSSA,102.797
CAGLIARI,VILLAMASSARGIA DOMUSNOVAS,44.793
CAGLIARI,VILLASOR,25.486
CAGLIARI ELMAS,CAGLIARI,7.928
CAIRO MONTENOTTE,ALESSANDRIA,79.204
CALALZO PIEVE CADORE CORTINA,BELLUNO,43.86
CALALZO PIEVE CADORE CORTINA,LONGARONE ZOLDO,25.92
CALALZO PIEVE CADORE CORTINA,PERAROLO CADORE,10.461
CALALZO PIEVE CADORE CORTINA,PONTE NELLE ALPI POLPET,36.238
CALALZO PIEVE CADORE CORTINA,ROMA TERMINI,624.153
CALALZO PIEVE CADORE CORTINA,VENEZIA S LUCIA,132.48
CALALZO PIEVE CADORE CORTINA,VICENZA,160.735
CALDONAZZO,TRENTO,26.761
CALOLZIOCORTE OLGINATE,AMBIVERE MAPELLO,14.474
CALOLZIOCORTE OLGINATE,BERGAMO,26.046
CALOLZIOCORTE OLGINATE,CARNATE USMATE,18.104
CALOLZIOCORTE OLGINATE,CISANO CAPRINO BERGAMASCO,8.09
CALOLZIOCORTE OLGINATE,LECCO,6.887
CALOLZIOCORTE OLGINATE,MILANO CENTRALE,41.849
CALOLZIOCORTE OLGINATE,MILANO GRECO PIRELLI,38.498
CALOLZIOCORTE OLGINATE,MILANO PORTA GARIBALDI,42.482
CALOLZIOCORTE OLGINATE,MILANO ROGOREDO,48.166
CALOLZIOCORTE OLGINATE,MONZA,29.907
CALOLZIOCORTE OLGINATE,PONTE S PIETRO,18.304
CALOLZIOCORTE OLGINATE,SESTO S GIOVANNI,34.787
CALOLZIOCORTE OLGINATE,SONDRIO,86.331
CALOLZIOCORTE OLGINATE,TIRANO,112.288
CALOLZIOCORTE OLGINATE,VERONA PORTA NUOVA,139.411
CALTAGIRONE,CATANIA CENTRALE,89.162
CALTAGIRONE,GRAMMICHELE,12.666
CALTAGIRONE,LENTINI DIRAMAZIONE,66.273
CALTAGIRONE,MESSINA CENTRALE,183.933
CALTAGIRONE,MILITELLO,37.894
CALTAGIRONE,MINEO,33.3
CALTAGIRONE,SCORDIA,52.654
CALTAGIRONE,SIRACUSA,126.338
CALTANISSETTA CENTRALE,AGRIGENTO BASSA,68.047
CALTANISSETTA CENTRALE,AGRIGENTO CENTRALE,71.017
CALTANISSETTA CENTRALE,ALCANTARA,164.562
CALTANISSETTA CENTRALE,ALTAVILLA MILICIA,111.713
CALTANISSETTA CENTRALE,ARAGONA CALDARE,58.403
CALTANISSETTA CENTRALE,BICOCCA,113.693
CALTANISSETTA CENTRALE,CALTANISSETTA XIRBI,6.334
CALTANISSETTA CENTRALE,CANICATTI,28.901
CALTANISSETTA CENTRALE,CATANIA CENTRALE,121.12
CALTANISSETTA CENTRALE,CATENANUOVA CENTURIPE,76.605
CALTANISSETTA CENTRALE,DITTAINO,53.094
CALTANISSETTA CENTRALE,DONNAFUGATA,161.364
CALTANISSETTA CENTRALE,ENNA,32.514
CALTANISSETTA CENTRALE,FIUMEFREDDO SICILIA,159.153
CALTANISSETTA CENTRALE,GELA,110.779
CALTANISSETTA CENTRALE,GIARRE RIPOSTO,150.931
CALTANISSETTA CENTRALE,LEONFORTE PIRATO,43.624
CALTANISSETTA CENTRALE,LERCARA DIRAMAZIONE,55.343
CALTANISSETTA CENTRALE,LICATA,74.432
CALTANISSETTA CENTRALE,MARCATOBIANCO,49.867
CALTANISSETTA CENTRALE,MARIANOPOLI,26.826
CALTANISSETTA CENTRALE,MODICA,200.437
CALTANISSETTA CENTRALE,PALERMO CENTRALE,132.081
CALTANISSETTA CENTRALE,RADDUSA AGIRA,58.85
CALTANISSETTA CENTRALE,RAGUSA,180.892
CALTANISSETTA CENTRALE,ROCCAPALUMBA ALIA,62.907
CALTANISSETTA CENTRALE,S CATALDO,6.615
CALTANISSETTA CENTRALE,SERRADIFALCO,18.975
CALTANISSETTA CENTRALE,SPARAGOGNA,71.147
CALTANISSETTA CENTRALE,TERMINI IMERESE,95.666
CALTANISSETTA CENTRALE,VALLELUNGA,37.199
CALTANISSETTA CENTRALE,VILLALBA,32.298
CALTANISSETTA CENTRALE,VILLAROSA,21.621
CALTANISSETTA XIRBI,AGRIGENTO BASSA,74.381
CALTANISSETTA XIRBI,AGRIGENTO CENTRALE,77.351
CALTANISSETTA XIRBI,ARAGONA CALDARE,64.737
CALTANISSETTA XIRBI,BAGHERIA,112.541
CALTANISSETTA XIRBI,CALTANISSETTA CENTRALE,6.334
CALTANISSETTA XIRBI,CANICATTI,35.235
CALTANISSETTA XIRBI,CATANIA CENTRALE,114.786
CALTANISSETTA XIRBI,COMISO,154.061
CALTANISSETTA XIRBI,DITTAINO,46.76
CALTANISSETTA XIRBI,DONNAFUGATA,167.698
CALTANISSETTA XIRBI,ENNA,26.18
CALTANISSETTA XIRBI,GELA,117.113
CALTANISSETTA XIRBI,GENISI,175.274
CALTANISSETTA XIRBI,LEONFORTE PIRATO,37.29
CALTANISSETTA XIRBI,LICATA,80.766
CALTANISSETTA XIRBI,MARIANOPOLI,20.492
CALTANISSETTA XIRBI,MODICA,206.771
CALTANISSETTA XIRBI,PALERMO CENTRALE,125.747
CALTANISSETTA XIRBI,RAGUSA,187.226
CALTANISSETTA XIRBI,ROCCAPALUMBA ALIA,56.573
CALTANISSETTA XIRBI,SERRADIFALCO,25.309
CALTANISSETTA XIRBI,SIRACUSA,182.886
CALTANISSETTA XIRBI,TERMINI IMERESE,89.332
CALTANISSETTA XIRBI,VALLELUNGA,30.865
CALTANISSETTA XIRBI,VITTORIA,146.25
CALTIGNAGA,DOMODOSSOLA,79.968
CALUSCO,BERGAMO,16.926
CALUSCO,MILANO PORTA GARIBALDI,33.114
CALUSCO,PONTE S PIETRO,9.184
CALUSCO,TERNO,5.127
CALUSO,IVREA,18.538
CALUSO,NOVARA,85.611
CALUSO,TORINO PORTA NUOVA,42.289
CAMBIANO SANTENA,ASTI,39.338
CAMBIANO SANTENA,TORINO LINGOTTO,12.123
CAMBIANO SANTENA,TORINO STURA,24.965
CAMMARATA S GIOVANNI GEMINI,PALERMO CENTRALE,87.58
CAMMARATA S GIOVANNI GEMINI,TERMINI IMERESE,51.165
CAMNAGO LENTATE,COMO S GIOVANNI,18.717
CAMNAGO LENTATE,MILANO AFFORI,24.105
CAMNAGO LENTATE,MILANO BOVISA,26.382
CAMNAGO LENTATE,MILANO BRUZZANO PARCO NORD,22.702
CAMNAGO LENTATE,MILANO CADORNA,30.547
CAMNAGO LENTATE,MILANO CENTRALE,27.91
CAMNAGO LENTATE,MILANO CERTOSA,31.567
CAMNAGO LENTATE,MILANO PORTA GARIBALDI,28.543
CAMNAGO LENTATE,MONZA,15.968
CAMNAGO LENTATE,PADERNO DUGNANO,18.934
CAMNAGO LENTATE,RHO,39.39
CAMNAGO LENTATE,SESTO S GIOVANNI,20.848
CAMNAGO LENTATE,SEVESO,13.267
CAMPAGNA SERRE PERSANO,BATTIPAGLIA,12.205
CAMPAGNA SERRE PERSANO,NAPOLI CENTRALE,83.194
CAMPAGNA SERRE PERSANO,SALERNO,31.908
CAMPIGLIA MARITTIMA,CECINA,34.84
CAMPIGLIA MARITTIMA,EMPOLI,132.717
CAMPIGLIA MARITTIMA,FIORENTINA PIOMBINO,7.914
CAMPIGLIA MARITTIMA,FIRENZE RIFREDI,160.5
CAMPIGLIA MARITTIMA,FIRENZE S MARIA NOVELLA,163.267
CAMPIGLIA MARITTIMA,FOLLONICA,17.202
CAMPIGLIA MARITTIMA,GROSSETO,59.108
CAMPIGLIA MARITTIMA,LIVORNO CENTRALE,68.533
CAMPIGLIA MARITTIMA,MILANO CENTRALE,366.08
CAMPIGLIA MARITTIMA,MONTEPESCALI,47.342
CAMPIGLIA MARITTIMA,PIOMBINO,13.848
CAMPIGLIA MARITTIMA,PIOMBINO MARITTIMA,15.076
CAMPIGLIA MARITTIMA,PISA CENTRALE,85.656
CAMPIGLIA MARITTIMA,ROMA OSTIENSE,236.943
CAMPIGLIA MARITTIMA,ROMA TERMINI,243.635
CAMPIGLIA MARITTIMA,ROSIGNANO,45.489
CAMPIGLIA MARITTIMA,S VINCENZO,10.601
CAMPIGLIA MARITTIMA,SCARLINO,24.069
CAMPIGLIA MARITTIMA,VADA,40.767
CAMPO CARNE,ROMA TERMINI,44.12
CAMPO CARNE,ROMA TIBURTINA,44.172
CAMPO GIOVE,SULMONA,30.948
CAMPO LIGURE MASONE,ACQUI TERME,28.813
CAMPO LIGURE MASONE,GENOVA BRIGNOLE,31.686
CAMPOBASSO,BOIANO,377.882
CAMPOBASSO,CANCELLO,329.219
CAMPOBASSO,CASERTA,333.587
CAMPOBASSO,COLLEFERRO SEGNI PALIANO,454.044
CAMPOBASSO,GUARDIAREGIA,385.914
CAMPOBASSO,ISERNIA,371.06
CAMPOBASSO,NAPOLI CENTRALE,367.728
CAMPOBASSO,ROMA TERMINI,414.264
CAMPOBASSO,ROMA TIBURTINA,412.949
CAMPOBASSO,VENAFRO,396.07
CAMPOBELLO MAZARA,CASTELVETRANO,8.466
CAMPOBELLO RAVANUSA,MODICA,154.976
CAMPOFELICE,BAGHERIA,39.587
CAMPOFELICE,PALERMO AEROPORTO,85.84
CAMPOFELICE,PALERMO CENTRALE,52.793
CAMPOFELICE,PALERMO NOTARBARTOLO,56.717
CAMPOFELICE,TERMINI IMERESE,16.378
CAMPOFRANCO,PALERMO CENTRALE,105.688
CAMPOLEONE,CASERTA,174.096
CAMPOLEONE,FORMIA GAETA,94.923
CAMPOLEONE,LATINA,27.518
CAMPOLEONE,MARECHIARO,19.664
CAMPOLEONE,MINTURNO SCAURI,104.978
CAMPOLEONE,NAPOLI CENTRALE,180.404
CAMPOLEONE,NETTUNO,25.62
CAMPOLEONE,PADIGLIONE,14.929
CAMPOLEONE,ROMA TERMINI,33.5
CAMPOLEONE,ROMA TIBURTINA,33.552
CAMPOLEONE,SALERNO,229.558
CAMPOLEONE,VILLA LITERNO,146.848
CAMPOMIGLIAIO,BORGO S LORENZO,7.945
CAMPOMIGLIAIO,FIRENZE S MARIA NOVELLA,26.385
CAMPOSAMPIERO,BASSANO DEL GRAPPA,29.115
CAMPOSAMPIERO,BELLUNO,93.401
CAMPOSAMPIERO,CASTELFRANCO VENETO,12.057
CAMPOSAMPIERO,FELTRE,62.868
CAMPOSAMPIERO,MONTEBELLUNA,28.372
CAMPOSAMPIERO,PADOVA,18.179
CAMPOSAMPIERO,TREVISO CENTRALE,36.586
CANCELLO,AREZZO,402.691
CANCELLO,BATTIPAGLIA,69.534
CANCELLO,BOIANO,130.917
CANCELLO,CAMPOBASSO,329.219
CANCELLO,CAMPOLEONE,180.264
CANCELLO,CASERTA,11.787
CANCELLO,CASSINO,80.959
CANCELLO,FOLIGNO,367.413
CANCELLO,GROSSETO,392.573
CANCELLO,ISERNIA,102.829
CANCELLO,NAPOLI CAMPI FLEGREI,50.868
CANCELLO,NAPOLI CENTRALE,40.309
CANCELLO,NAPOLI GIANTURCO,41.434
CANCELLO,PONTASSIEVE,459.974
CANCELLO,POZZUOLI SOLFATARA,54.407
CANCELLO,REGGIO CALABRIA CENTRALE,443.724
CANCELLO,ROCCA RAVINDOLA,85.31
CANCELLO,ROMA CASILINA,209.507
CANCELLO,SALERNO,49.831
CANCELLO,SARNO,27.625
CANCELLO,TERNI,313.063
CANCELLO,VENAFRO,77.819
CANDELA S AGATA PUGLIA,FOGGIA,38.35
CANDIA CANAVESE,CHIVASSO,17.42
CANDIA CANAVESE,NOVARA,89.109
CANDIA CANAVESE,TORINO PORTA NUOVA,45.787
CANDIOLO,CHIVASSO,39.552
CANDIOLO,PINEROLO,22.657
CANICATTI,AGRIGENTO CENTRALE,42.116
CANNETO SULL OGLIO,BRESCIA,48.313
CANNIZZARO,BICOCCA,13.244
CANTELLO GAGGIOLO,VARESE,10.68
CANTU,COMO S GIOVANNI,11.21
CANTU,LECCO,30.508
CANTU,MOLTENO,15.793
CAPACCIO ROCCADASPIDE,NAPOLI CENTRALE,88.668
CAPACCIO ROCCADASPIDE,PISCIOTTA PALINURO,51.74
CAPACCIO ROCCADASPIDE,SAPRI,87.11
CAPALBIO,PISA CENTRALE,194.763
CAPISTRELLO,AVEZZANO,8.685
CAPO BONIFATI,COSENZA,53.053
CAPO D ORLANDO NASO,MESSINA CENTRALE,85.123
CAPRANICA SUTRI,ROMA OSTIENSE,63.354
CAPRANICA SUTRI,ROMA TIBURTINA,70.721
CAPRANICA SUTRI,VITERBO PORTA ROMANA,23.367
CAPRIATI AL VOLTURNO,NAPOLI CENTRALE,94.949
CAPUA,CASERTA,11.12
CAPUA,CASSINO,58.052
CAPUA,ISERNIA,79.922
CAPUA,NAPOLI CAMPI FLEGREI,55.82
CAPUA,NAPOLI CENTRALE,45.261
CARAVAGGIO,CREMONA,59.542
CARAVAGGIO,OLMENETA,48.711
CARBONIA SERBARIU,CAGLIARI,67.164
CARBONIA SERBARIU,DECIMOMANNU,50.923
CARBONIA SERBARIU,IGLESIAS,31.486
CARBONIA SERBARIU,SILIQUA,37.44
CARBONIA SERBARIU,VILLAMASSARGIA DOMUSNOVAS,22.371
CARIATI,CATANZARO LIDO,114.816
CARIMATE,COMO S GIOVANNI,14.855
CARIMATE,MILANO CENTRALE,31.772
CARIMATE,MILANO CERTOSA,35.429
CARIMATE,MILANO PORTA GARIBALDI,32.405
CARIMATE,MONZA,19.83
CARIMATE,RHO,43.252
CARIMATE,SESTO S GIOVANNI,24.71
CARINI,AGRIGENTO CENTRALE,160.006
CARINI,CEFALU,90.164
CARINI,PALERMO CENTRALE,26.589
CARINI,PALERMO NOTARBARTOLO,20.038
CARMAGNOLA,ALBA,37.935
CARMAGNOLA,BRA,20.445
CARMAGNOLA,CIRIE,52.902
CARMAGNOLA,CUNEO,60.181
CARMAGNOLA,FOSSANO,35.042
CARMAGNOLA,GERMAGNANO,65.265
CARMAGNOLA,SAVONA,118.844
CARMAGNOLA,TORINO LINGOTTO,24.081
CARMAGNOLA,TORINO PORTA NUOVA,28.399
CARMAGNOLA,TORINO STURA,36.923
CARMAGNOLA,TROFARELLO,15.369
CARMAGNOLA,VENTIMIGLIA,218.381
CARNATE USMATE,BERGAMO,25.662
CARNATE USMATE,CALOLZIOCORTE OLGINATE,18.104
CARNATE USMATE,COLICO,63.97
CARNATE USMATE,LECCO,24.991
CARNATE USMATE,MILANO CENTRALE,23.745
CARNATE USMATE,MILANO GRECO PIRELLI,20.394
CARNATE USMATE,MILANO LAMBRATE,24.274
CARNATE USMATE,MILANO PORTA GARIBALDI,24.378
CARNATE USMATE,MILANO ROGOREDO,30.062
CARNATE USMATE,MONZA,11.803
CARNATE USMATE,MORBEGNO,79.365
CARNATE USMATE,PADERNO ROBBIATE,6.074
CARNATE USMATE,PONTE S PIETRO,17.92
CARNATE USMATE,SESTO S GIOVANNI,16.683
CARNATE USMATE,SONDRIO,104.435
CARNATE USMATE,TIRANO,130.392
CARNATE USMATE,TRESENDA APRICA TEGLIO,121.324
CARNATE USMATE,VERONA PORTA NUOVA,139.027
CARNIA,CERVIGNANO AQUILEIA GRADO,68.013
CARNIA,GEMONA DEL FRIULI,11.47
CARNIA,MONFALCONE,84.421
CARNIA,PALMANOVA,57.612
CARNIA,RONCHI DEI LEGIONARI NORD,82.867
CARNIA,TARCENTO,21.321
CARNIA,TRICESIMO S PELAGIO,27.694
CARNIA,TRIESTE CENTRALE,111.677
CARNIA,UDINE,39.669
CARONIA,PALERMO CENTRALE,106.239
CAROVILLI ROCCASICURA,SULMONA,99.687
CARPANE VALSTAGNA,TRENTO,82.505
CARPI,MANTOVA,45.617
CARPI,MODENA,15.425
CARPI,QUATTRO VILLE,10.325
CARPI,SOLIERA MODENESE,6.778
CARPI,SUZZARA,26.688
CARPINONE,NAPOLI CENTRALE,134.96
CARPINONE,ROMA TERMINI,195.504
CARSOLI,AVEZZANO,32.549
CARSOLI,ROMA TERMINI,74.531
CARSOLI,ROMA TIBURTINA,73.216
CARSOLI,TIVOLI,34.958
CASALBUTTANO,CREMONA,17.139
CASALBUTTANO,MILANO PORTA GARIBALDI,82.382
CASALBUTTANO,TREVIGLIO,47.437
CASALE MONFERRATO,ALESSANDRIA,32.726
CASALE MONFERRATO,CHIVASSO,48.4
CASALE MONFERRATO,MILANO PORTA GARIBALDI,87.952
CASALE MONFERRATO,MORTARA,28.441
CASALE MONFERRATO,NOVARA,52.676
CASALE MONFERRATO,TRINO VERCELLESE,15.968
CASALE POPOLO,ALESSANDRIA,36.219
CASALECCHIO GARIBALDI,BAZZANO,16.533
CASALECCHIO GARIBALDI,BOLOGNA CENTRALE,8.728
CASALECCHIO GARIBALDI,PIANORO,24.89
CASALECCHIO GARIBALDI,PORRETTA TERME,49.739
CASALECCHIO GARIBALDI,RIOLA,38.074
CASALECCHIO GARIBALDI,VIGNOLA,23.651
CASALEGGIO,NOVARA,12.083
CASALETTO VAPRIO,CREMONA,49.845
CASALETTO VAPRIO,MILANO PORTA GARIBALDI,49.676
CASALETTO VAPRIO,OLMENETA,39.014
CASALETTO VAPRIO,TREVIGLIO,14.731
CASALGRANDE,REGGIO EMILIA,16.225
CASALMAGGIORE,BRESCIA,67.517
CASALMAGGIORE,PARMA,23.625
CASALMAGGIORE,PIADENA,16.113
CASALPUSTERLENGO,BOLOGNA CENTRALE,164.483
CASALPUSTERLENGO,BOZZOLO,68.668
CASALPUSTERLENGO,CREMONA,32.203
CASALPUSTERLENGO,MILANO CENTRALE,54.505
CASALPUSTERLENGO,MILANO CERTOSA,58.165
CASALPUSTERLENGO,MILANO GRECO PIRELLI,54.587
CASALPUSTERLENGO,MILANO LAMBRATE,50.707
CASALPUSTERLENGO,PAVIA,41.605
CASALPUSTERLENGO,PIACENZA,17.009
CASALPUSTERLENGO,REGGIO EMILIA,102.397
CASALPUSTERLENGO,RIMINI,275.57
CASARSA,CORDOVADO SESTO,12.444
CASARSA,GORIZIA CENTRALE,66.523
CASARSA,PORTOGRUARO CAORLE,21.116
CASARSA,S VITO AL TAGLIAMENTO,5.125
CASARSA,SACILE,27.951
CASARSA,TRIESTE CENTRALE,105.669
CASARSA,UDINE,33.661
CASARSA,VENEZIA MESTRE,92.912
CASARSA,VENEZIA S LUCIA,101.346
CASCINA,PISA CENTRALE,12.532
CASERTA,AMOROSI MELIZZANO,28.696
CASERTA,ANAGNI FIUGGI,144.648
CASERTA,AVERSA,14.92
CASERTA,BATTIPAGLIA,81.321
CASERTA,BOIANO,119.13
CASERTA,CAMPOBASSO,333.587
CASERTA,CANCELLO,11.787
CASERTA,CAPUA,11.12
CASERTA,CASORIA AFRAGOLA,25.151
CASERTA,CASSINO,69.172
CASERTA,CIAMPINO,193.233
CASERTA,CISTERNA LATINA,157.816
CASERTA,COLLEFERRO SEGNI PALIANO,153.566
CASERTA,FORMIA GAETA,79.173
CASERTA,FROSINONE,121.675
CASERTA,GRICIGNANO TEVEROLA,11.26
CASERTA,ISERNIA,91.042
CASERTA,MADDALONI INFERIORE,5.76
CASERTA,MARCIANISE,5.541
CASERTA,MILANO CENTRALE,757.504
CASERTA,MOROLO,135.008
CASERTA,NAPOLI CAMPI FLEGREI,44.7
CASERTA,NAPOLI CENTRALE,34.141
CASERTA,NAPOLI GIANTURCO,35.266
CASERTA,NAPOLI MERGELLINA,42.256
CASERTA,NAPOLI PIAZZA CAVOUR,37.778
CASERTA,NAPOLI PIAZZA GARIBALDI,36.177
CASERTA,NOLA,24.043
CASERTA,PIGNATARO MAGGIORE,20.39
CASERTA,PONTECAGNANO,71.234
CASERTA,POZZUOLI SOLFATARA,48.239
CASERTA,ROCCA D EVANDRO S VITTORE,60.866
CASERTA,ROCCA RAVINDOLA,73.523
CASERTA,ROCCASECCA,86.161
CASERTA,ROMA OSTIENSE,204.221
CASERTA,ROMA TERMINI,198.169
CASERTA,ROMA TIBURTINA,196.854
CASERTA,S MARCELLINO FRIGNANO,17.692
CASERTA,S MARIA CAPUA VETERE,6.277
CASERTA,SALERNO,61.618
CASERTA,SARNO,39.412
CASERTA,SOLOPACA,37.671
CASERTA,SPARANISE,26.424
CASERTA,TELESE CERRETO,33.531
CASERTA,TORA PRESENZANO,53.136
CASERTA,TORRE ANNUNZIATA CENTRALE,53.92
CASERTA,VAIRANO CAIANELLO,45.795
CASERTA,VALLE MADDALONI,14.211
CASERTA,VENAFRO,66.032
CASERTA,VIAREGGIO,549.032
CASERTA,VILLA LITERNO,27.248
CASERTA,ZAGAROLO,172.302
CASORIA AFRAGOLA,NAPOLI CENTRALE,8.99
CASORIA AFRAGOLA,ROMA TERMINI,204.914
CASSANO D ADDA,BUSTO ARSIZIO,59.151
CASSANO D ADDA,GALLARATE,66.252
CASSANO D ADDA,MILANO CENTRALE,27.144
CASSANO D ADDA,MILANO CERTOSA,32.318
CASSANO D ADDA,MILANO LAMBRATE,23.346
CASSANO D ADDA,NOVARA,75.772
CASSANO D ADDA,PARABIAGO,49.156
CASSANO D ADDA,PIOLTELLO LIMITO,14.842
CASSANO D ADDA,RHO,40.141
CASSANO D ADDA,TRECATE,66.248
CASSANO D ADDA,VARESE,77.555
CASSIBILE,SIRACUSA,16.654
CASSINE,ALESSANDRIA,21.034
CASSINE,SAVONA,81.178
CASSINO,ANAGNI FIUGGI,75.476
CASSINO,ARCE,26.298
CASSINO,ARPINO,36.508
CASSINO,AVERSA,73.888
CASSINO,AVEZZANO,96.444
CASSINO,BALSORANO,59.402
CASSINO,BOIANO,77.222
CASSINO,CAMPOBASSO,402.759
CASSINO,CANCELLO,80.959
CASSINO,CAPISTRELLO,87.759
CASSINO,CAPUA,58.052
CASSINO,CASERTA,69.172
CASSINO,CECCANO,46.01
CASSINO,CEPRANO FALVATERRA,27.387
CASSINO,CIAMPINO,124.061
CASSINO,CIVITA D ANTINO MORINO,70.731
CASSINO,CIVITELLA ROVETO,76.749
