partenza,arrivo,corse,con_misura,con_durata,durata_tot,ritardo_tot,in_ritardo,mesi,primo_mese,ultimo_mese,km,qualita_km,durata_media_min,ritardo_medio_min,min_per_100km,ritardo_per_100km,km_h_programmati,km_h_effettivi,pct_ritardo,attraversa_stretto
BOLZANO,MERANO,31755,31371,31750,1300471.0000,83732,5512,81,2019-10,2026-07,32.9600,ufficiale,40.9597,2.6691,124.2710,8.0980,48.2816,45.3279,17.5704,False
MANTOVA,MONSELICE,29319,29098,29316,3049303.0000,54813,2446,82,2019-10,2026-07,83.8400,ufficiale,104.0150,1.8837,124.0637,2.2468,48.3623,47.5020,8.4061,False
FIUMICINO AEROPORTO,ORTE,66961,65868,66960,9051212.0000,140940,6448,82,2019-10,2026-07,108.9800,ufficiale,135.1734,2.1397,124.0351,1.9634,48.3734,47.6196,9.7893,False
CREMONA,MILANO PORTA GARIBALDI,14807,14392,14806,1626642.0000,94928,5119,82,2019-10,2026-07,88.6000,ufficiale,109.8637,6.5959,123.9997,7.4446,48.3872,45.6467,35.5684,False
AVEZZANO,ROMA TERMINI,14658,13038,14657,1945784.0000,27323,1381,82,2019-10,2026-07,107.0800,ufficiale,132.7546,2.0956,123.9770,1.9571,48.3961,47.6440,10.5921,False
CHIASSO,SESTO S GIOVANNI,338,333,338,17288.0000,4299,189,38,2019-10,2026-07,41.2900,stimata,51.1479,12.9099,123.8749,31.2664,48.4360,38.6744,56.7568,False
ALESSANDRIA,CHIVASSO,43768,41220,43760,4397603.0000,106459,6883,81,2019-10,2026-07,81.1300,ufficiale,100.4937,2.5827,123.8675,3.1834,48.4389,47.2252,16.6982,False
ALESSANDRIA,S GIUSEPPE CAIRO,2074,1902,2074,210431.0000,7263,309,49,2019-10,2026-05,81.9200,ufficiale,101.4614,3.8186,123.8543,4.6614,48.4440,46.6869,16.2461,False
CIVITANOVA MARCHE MONTEGRANARO,FABRIANO,1995,1975,1995,234206.0000,5147,300,14,2025-03,2026-07,94.8600,ufficiale,117.3965,2.6061,123.7576,2.7473,48.4819,47.4290,15.1899,False
FORTEZZA,VALDAORA ANTERSELVA,337,333,337,18313.0000,282,22,6,2019-12,2020-12,43.9200,ufficiale,54.3412,0.8468,123.7278,1.9282,48.4936,47.7494,6.6066,False
PESCARA,TORRE DEI PASSERI,1504,1477,1504,71668.0000,479,26,66,2019-10,2026-06,38.6500,ufficiale,47.6516,0.3243,123.2900,0.8391,48.6657,48.3368,1.7603,False
BRESCIA,EDOLO,21954,21632,21953,2793550.0000,91513,5799,53,2019-10,2026-07,103.2600,stimata,127.2514,4.2304,123.2340,4.0969,48.6879,47.1213,26.8075,False
BERGAMO,LECCO MAGGIANICO,44136,43817,44128,1789483.0000,183118,14454,53,2019-10,2024-02,32.9300,ufficiale,40.5521,4.1792,123.1464,12.6910,48.7225,44.1705,32.9872,False
MILANO CERTOSA,VARESE,1230,1171,1226,77262.0000,13313,692,81,2019-10,2026-07,51.2000,ufficiale,63.0196,11.3689,123.0851,22.2049,48.7468,41.2967,59.0948,False
MANTOVA,VENEZIA MESTRE,4833,4816,4833,802601.0000,10012,385,81,2019-10,2026-07,135.1400,ufficiale,166.0668,2.0789,122.8850,1.5383,48.8261,48.2225,7.9942,False
NETTUNO,ROMA TERMINI,86468,85385,86463,6280807.0000,126110,6122,82,2019-10,2026-07,59.1200,ufficiale,72.6416,1.4770,122.8714,2.4982,48.8316,47.8585,7.1699,False
BATTIPAGLIA,NOCERA INFERIORE,675,638,675,28619.0000,2937,213,30,2019-11,2026-07,34.5100,ufficiale,42.3985,4.6034,122.8586,13.3395,48.8366,44.0535,33.3856,False
MILANO PORTA GARIBALDI,PADERNO ROBBIATE,13147,13001,13110,490437.0000,50993,3563,25,2019-10,2026-06,30.4500,ufficiale,37.4094,3.9222,122.8551,12.8809,48.8380,44.2034,27.4056,False
AUGUSTA,MODICA,1170,1142,1170,170430.0000,5470,192,66,2019-10,2026-07,118.6100,ufficiale,145.6667,4.7898,122.8115,4.0383,48.8554,47.3000,16.8126,False
MILANO CADORNA,VARESE,57353,56754,57350,3510910.0000,138633,10607,82,2019-10,2026-07,49.8700,ufficiale,61.2190,2.4427,122.7572,4.8981,48.8770,47.0016,18.6894,False
LAMEZIA TERME CENTRALE,LOCRI,3354,3339,3354,517298.0000,4526,260,49,2019-10,2023-12,125.7000,ufficiale,154.2332,1.3555,122.6994,1.0784,48.9000,48.4740,7.7868,False
AREZZO,FIRENZE CAMPO MARTE,451,401,451,35842.0000,4764,161,47,2020-01,2026-07,64.7700,ufficiale,79.4723,11.8803,122.6992,18.3423,48.9001,42.5407,40.1496,False
CATANIA CENTRALE,MESSINA CENTRALE,49404,43312,49394,5739019.0000,67708,3521,81,2019-10,2026-07,94.7700,ufficiale,116.1886,1.5633,122.6006,1.6495,48.9394,48.2897,8.1294,False
BUSSOLENO,TORINO PORTA NUOVA,9487,9302,9484,529219.0000,22296,1069,82,2019-10,2026-07,45.5300,ufficiale,55.8012,2.3969,122.5593,5.2644,48.9559,46.9396,11.4922,False
AVEZZANO,ROMA TIBURTINA,10412,8934,10412,1349396.0000,21930,1159,40,2023-04,2026-07,105.7700,ufficiale,129.6001,2.4547,122.5301,2.3208,48.9676,48.0573,12.9729,False
GALLARATE,LUINO,48169,47510,48165,2702771.0000,165763,11077,82,2019-10,2026-07,45.8000,ufficiale,56.1148,3.4890,122.5215,7.6179,48.9710,46.1044,23.3151,False
FARA SABINA MONTELIBRETTI,ROMA TIBURTINA,862,794,862,34252.0000,761,55,17,2025-03,2026-07,32.4700,ufficiale,39.7355,0.9584,122.3760,2.9518,49.0292,47.8745,6.9270,False
MANIAGO,SACILE,29229,28250,29205,1151264.0000,29916,1261,78,2019-10,2026-07,32.2200,ufficiale,39.4201,1.0590,122.3467,3.2867,49.0410,47.7580,4.4637,False
FERRARA,SERMIDE,9271,9160,9270,369290.0000,24091,1530,70,2020-01,2026-07,32.5700,ufficiale,39.8371,2.6300,122.3123,8.0750,49.0548,46.0168,16.7031,False
COMO BORGHI,MILANO CADORNA,1652,1618,1652,90771.0000,3389,263,47,2020-12,2024-10,44.9400,ufficiale,54.9461,2.0946,122.2655,4.6608,49.0735,47.2715,16.2546,False
GALLARATE,LAVENO MOMBELLO,1256,1240,1256,47953.0000,2960,141,43,2019-10,2026-05,31.2300,ufficiale,38.1791,2.3871,122.2515,7.6436,49.0792,46.1911,11.3710,False
FIRENZE S MARIA NOVELLA,VERNIO MONTEPIANO CANTAGALLO,336,333,336,15137.0000,612,30,9,2023-06,2025-12,36.8900,ufficiale,45.0506,1.8378,122.1214,4.9819,49.1314,47.2057,9.0090,False
BELLUNO,CALALZO PIEVE CADORE CORTINA,23462,23292,23462,1256349.0000,28347,1006,59,2019-10,2026-07,43.8600,ufficiale,53.5482,1.2170,122.0890,2.7748,49.1445,48.0523,4.3191,False
PIOMBINO BINARI MARE,PISA CENTRALE,3325,3244,3325,401696.0000,4677,318,64,2019-10,2025-03,98.9900,stimata,120.8108,1.4417,122.0435,1.4564,49.1628,48.5830,9.8027,False
ROVIGO,VENEZIA S LUCIA,38528,33025,38525,3792107.0000,45709,2271,82,2019-10,2026-07,80.6800,ufficiale,98.4324,1.3841,122.0034,1.7155,49.1789,48.4970,6.8766,False
PIOMBINO MARITTIMA,PISA CENTRALE,763,731,763,92752.0000,1110,72,17,2025-03,2026-07,99.6700,ufficiale,121.5623,1.5185,121.9647,1.5235,49.1945,48.5876,9.8495,False
FOLIGNO,MAGIONE,820,801,820,60863.0000,1809,88,41,2019-10,2026-07,60.8800,ufficiale,74.2232,2.2584,121.9172,3.7096,49.2137,47.7605,10.9863,False
CASTELFRANCO VENETO,VENEZIA S LUCIA,1240,1230,1240,65794.0000,8276,461,79,2019-10,2026-07,43.5600,ufficiale,53.0597,6.7285,121.8083,15.4464,49.2577,43.7144,37.4797,False
ORTE,ROMA OSTIENSE,2810,2795,2810,288325.0000,7996,356,82,2019-10,2026-07,84.2600,ufficiale,102.6068,2.8608,121.7740,3.3952,49.2716,47.9351,12.7370,False
ROMA TUSCOLANA,VELLETRI,1526,1510,1526,71200.0000,3947,234,80,2019-10,2026-07,38.3700,ufficiale,46.6579,2.6139,121.6000,6.8124,49.3421,46.7245,15.4967,False
CHIVASSO,PINEROLO,83800,82697,83792,6336395.0000,216160,14677,78,2019-10,2026-05,62.2100,ufficiale,75.6205,2.6139,121.5569,4.2017,49.3596,47.7105,17.7479,False
CHIERI,TORINO STURA,11171,11037,11168,408075.0000,31382,1777,82,2019-10,2026-07,30.1200,ufficiale,36.5397,2.8433,121.3136,9.4401,49.4586,45.8878,16.1004,False
MALPENSA AEROPORTO TERMINAL 2,MILANO CENTRALE,19001,18562,19001,1124629.0000,73871,6028,14,2025-03,2026-07,48.8000,stimata,59.1879,3.9797,121.2866,8.1551,49.4696,46.3529,32.4749,False
BOLOGNA CENTRALE,PORRETTA TERME,70725,70015,70717,5013340.0000,145448,7651,81,2019-10,2026-07,58.4700,ufficiale,70.8930,2.0774,121.2468,3.5529,49.4858,48.0770,10.9277,False
BASSANO DEL GRAPPA,BORGO VALSUGANA EST,1855,1842,1855,114874.0000,3937,177,17,2019-11,2026-06,51.1700,ufficiale,61.9267,2.1374,121.0215,4.1770,49.5780,47.9239,9.6091,False
MONTECATINI TERME,VIAREGGIO,7249,6926,7249,461351.0000,7682,502,46,2019-10,2025-03,52.5900,stimata,63.6434,1.1092,121.0181,2.1091,49.5794,48.7301,7.2481,False
L AQUILA,TERNI,41173,38408,41167,5138752.0000,85063,4444,81,2019-10,2026-07,103.2300,ufficiale,124.8270,2.2147,120.9212,2.1454,49.6191,48.7541,11.5705,False
MILANO ROGOREDO,MORTARA,7462,7121,7462,458694.0000,29138,1807,8,2025-12,2026-07,50.8400,ufficiale,61.4707,4.0918,120.9100,8.0485,49.6237,46.5266,25.3756,False
FERRARA,ROVIGO,1498,1339,1498,57902.0000,3575,263,77,2019-12,2026-07,32.0000,ufficiale,38.6529,2.6699,120.7902,8.3434,49.6729,46.4635,19.6415,False
CHIVASSO,VALENZA,1925,1879,1925,156125.0000,4532,297,35,2019-11,2026-06,67.1800,ufficiale,81.1039,2.4119,120.7263,3.5902,49.6992,48.2639,15.8063,False
ARQUATA SCRIVIA,VOGHERA,324,297,324,15914.0000,1055,72,6,2021-09,2026-07,40.7100,ufficiale,49.1173,3.5522,120.6516,8.7256,49.7299,46.3760,24.2424,False
GENOVA BRIGNOLE,IMPERIA,705,687,705,90281.0000,1847,97,82,2019-10,2026-07,106.1400,ufficiale,128.0582,2.6885,120.6502,2.5330,49.7305,48.7079,14.1194,False
CREMONA,FIDENZA,25263,24891,25259,1032629.0000,97335,6080,81,2019-10,2026-06,33.8900,ufficiale,40.8816,3.9104,120.6304,11.5387,49.7387,45.3964,24.4265,False
ROMA TIBURTINA,SULMONA,615,399,615,126465.0000,771,40,30,2023-05,2026-01,170.6200,ufficiale,205.6341,1.9323,120.5217,1.1325,49.7836,49.3201,10.0251,False
PAVIA,TORREBERETTI,4069,3961,4069,211147.0000,19646,1025,78,2019-10,2026-07,43.0600,ufficiale,51.8916,4.9599,120.5100,11.5185,49.7884,45.4447,25.8773,False
CALOLZIOCORTE OLGINATE,MILANO PORTA GARIBALDI,1697,1681,1696,86745.0000,26911,1194,80,2019-10,2026-07,42.4800,ufficiale,51.1468,16.0089,120.4021,37.6858,49.8330,37.9536,71.0291,False
LEGNAGO,VENEZIA MESTRE,2299,2268,2299,247033.0000,8257,446,70,2019-10,2026-06,89.2500,ufficiale,107.4524,3.6407,120.3948,4.0792,49.8360,48.2028,19.6649,False
PALERMO CENTRALE,TERMINI IMERESE,75202,74016,75185,3295756.0000,95389,3692,82,2019-10,2026-07,36.4100,ufficiale,43.8353,1.2888,120.3935,3.5396,49.8366,48.4132,4.9881,False
ALESSANDRIA,PAVIA,47298,45661,47286,3584484.0000,223392,15945,81,2019-10,2026-07,62.9800,ufficiale,75.8043,4.8924,120.3626,7.7682,49.8494,46.8272,34.9204,False
SULMONA,TERAMO,8437,8431,8437,1329850.0000,14774,589,80,2019-10,2026-07,131.0200,ufficiale,157.6212,1.7523,120.3032,1.3375,49.8740,49.3256,6.9861,False
BELLUNO,FELTRE,7993,7978,7992,293534.0000,3320,72,18,2020-01,2026-01,30.5300,ufficiale,36.7285,0.4161,120.3029,1.3631,49.8741,49.3153,0.9025,False
TERAMO,TORRE DEI PASSERI,1423,1422,1423,173251.0000,2324,107,66,2019-10,2026-06,101.3400,ufficiale,121.7505,1.6343,120.1406,1.6127,49.9415,49.2800,7.5246,False
NAPOLI CENTRALE,SALERNO,15248,11824,15246,939431.0000,34736,2065,82,2019-10,2026-07,51.2900,ufficiale,61.6182,2.9378,120.1369,5.7277,49.9430,47.6703,17.4645,False
FARA SABINA,ROMA TIBURTINA,337,318,337,13442.0000,1212,39,45,2019-10,2025-03,33.2400,stimata,39.8872,3.8113,119.9977,11.4661,50.0010,45.6399,12.2642,False
MERANO,S CANDIDO,1117,1114,1117,195357.0000,1014,44,64,2019-10,2026-07,146.0600,ufficiale,174.8944,0.9102,119.7414,0.6232,50.1080,49.8485,3.9497,False
BRESCIA,MARONE ZONE,4710,4701,4710,213773.0000,12309,579,12,2023-12,2026-07,37.9100,stimata,45.3870,2.6184,119.7232,6.9068,50.1156,47.3821,12.3165,False
CATANIA CENTRALE,GRAMMICHELE,453,414,453,41472.0000,2504,112,16,2020-06,2026-06,76.5000,ufficiale,91.5497,6.0483,119.6728,7.9063,50.1367,47.0297,27.0531,False
BASSANO DEL GRAPPA,BOLZANO,1271,1269,1271,229894.0000,3263,148,47,2019-10,2026-07,151.1500,ufficiale,180.8765,2.5713,119.6669,1.7012,50.1392,49.4364,11.6627,False
CALALZO PIEVE CADORE CORTINA,VENEZIA S LUCIA,724,719,724,114778.0000,938,50,54,2020-09,2026-07,132.4800,ufficiale,158.5331,1.3046,119.6657,0.9847,50.1397,49.7304,6.9541,False
BUONCONVENTO,EMPOLI,2135,2000,2135,234423.0000,2486,111,78,2019-10,2026-07,91.7900,ufficiale,109.8000,1.2430,119.6209,1.3542,50.1585,49.5970,5.5500,False
SIRACUSA,VITTORIA,1094,1084,1093,198868.0000,6839,456,52,2019-10,2025-01,152.2200,ufficiale,181.9469,6.3090,119.5289,4.1447,50.1971,48.5148,42.0664,False
BASSANO DEL GRAPPA,VENEZIA S LUCIA,128676,123841,128671,9631856.0000,217524,11025,82,2019-10,2026-07,62.7100,ufficiale,74.8565,1.7565,119.3693,2.8010,50.2642,49.1118,8.9025,False
CHIUSI CHIANCIANO TERME,PRATO CENTRALE,1920,1862,1920,305188.0000,6853,366,80,2019-10,2026-07,133.2400,ufficiale,158.9521,3.6805,119.2976,2.7623,50.2944,49.1562,19.6563,False
MACCARESE,ROMA TERMINI,350,349,350,13027.0000,1385,73,31,2019-10,2025-02,31.2300,stimata,37.2200,3.9685,119.1803,12.7073,50.3439,45.4933,20.9169,False
MANTOVA,MODENA,63863,61761,63850,4644677.0000,128133,7527,82,2019-10,2026-07,61.0400,ufficiale,72.7436,2.0747,119.1736,3.3989,50.3467,48.9506,12.1873,False
FIRENZE CAMPO MARTE,S BENEDETTO SAMBRO CASTIGLIONE PEPOLI,408,408,408,28156.0000,1892,163,21,2023-01,2024-10,57.9700,stimata,69.0098,4.6373,119.0440,7.9994,50.4015,47.2280,39.9510,False
BRUNICO,FORTEZZA,687,661,686,26465.0000,885,42,23,2019-11,2026-07,32.4100,ufficiale,38.5787,1.3389,119.0334,4.1311,50.4060,48.7154,6.3540,False
BUCCINO S GREGORIO MAGNO,SALERNO,768,697,768,53132.0000,2721,171,10,2025-03,2026-07,58.1300,ufficiale,69.1823,3.9039,119.0131,6.7158,50.4146,47.7218,24.5337,False
FAENZA,FIRENZE S MARIA NOVELLA,22901,22673,22901,2737980.0000,77823,4421,68,2019-10,2026-07,100.6600,ufficiale,119.5572,3.4324,118.7733,3.4099,50.5164,49.1066,19.4990,False
MODICA,SIRACUSA,2866,2681,2862,311677.0000,14721,600,63,2019-10,2026-05,91.7000,ufficiale,108.9018,5.4909,118.7588,5.9879,50.5226,48.0975,22.3797,False
CALTANISSETTA CENTRALE,ROCCAPALUMBA ALIA,11823,11253,11823,882381.0000,11489,578,71,2019-10,2026-06,62.9100,ufficiale,74.6326,1.0210,118.6339,1.6229,50.5758,49.8932,5.1364,False
LA SPEZIA CENTRALE,MILANO PORTA GARIBALDI,425,415,425,113756.0000,4280,175,25,2023-04,2026-07,225.6400,ufficiale,267.6612,10.3133,118.6231,4.5707,50.5804,48.7038,42.1687,False
PARMA,PIADENA,11018,10825,11014,519109.0000,46701,3371,81,2019-10,2026-07,39.7400,ufficiale,47.1317,4.3142,118.6003,10.8560,50.5901,46.3477,31.1409,False
CASTELBOLOGNESE RIOLO TERME,RAVENNA,8610,8184,8606,414525.0000,15642,897,80,2019-10,2026-07,40.6400,ufficiale,48.1670,1.9113,118.5211,4.7030,50.6239,48.6918,10.9604,False
BERGAMO,MILANO GRECO PIRELLI,862,854,861,46914.0000,5226,383,50,2019-10,2026-06,46.0600,ufficiale,54.4878,6.1194,118.2974,13.2858,50.7196,45.5985,44.8478,False
FOSSANO,LIMONE,29013,27817,29011,1833998.0000,23781,1112,82,2019-10,2026-07,53.4700,ufficiale,63.2173,0.8549,118.2295,1.5989,50.7487,50.0716,3.9976,False
LA SPEZIA CENTRALE,PONTREMOLI,23097,22803,23096,1115010.0000,56777,3630,80,2019-10,2026-07,40.8500,ufficiale,48.2772,2.4899,118.1816,6.0952,50.7693,48.2793,15.9190,False
CASTELVETRANO,TRAPANI,26628,20679,26603,2337805.0000,47726,2102,70,2019-10,2026-07,74.3600,ufficiale,87.8775,2.3079,118.1784,3.1037,50.7707,49.4714,10.1649,False
MILANO CADORNA,NOVARA NORD,74677,74481,74676,4715865.0000,173462,13470,82,2019-10,2026-07,53.4500,ufficiale,63.1510,2.3289,118.1497,4.3572,50.7830,48.9768,18.0851,False
PAVIA,VALENZA,2088,2070,2088,121483.0000,17047,1158,55,2019-11,2026-07,49.2800,ufficiale,58.1815,8.2353,118.0631,16.7112,50.8203,44.5189,55.9420,False
BRESSANA BOTTARONE,PIACENZA,382,382,381,22474.0000,992,56,8,2022-10,2026-04,49.9700,ufficiale,58.9869,2.5969,118.0446,5.1968,50.8283,48.6849,14.6597,False
GALLARATE,STABIO,992,975,992,40292.0000,932,43,30,2021-06,2026-07,34.4300,stimata,40.6169,0.9559,117.9696,2.7764,50.8606,49.6911,4.4103,False
OZIERI CHILIVANI,PORTO TORRES MARITTIMA,1839,1833,1839,142799.0000,2932,151,76,2019-10,2026-07,65.9300,ufficiale,77.6504,1.5996,117.7770,2.4262,50.9437,49.9155,8.2379,False
ALTOPASCIO,FIRENZE S MARIA NOVELLA,332,310,332,24755.0000,1402,50,25,2019-11,2026-05,63.3200,ufficiale,74.5633,4.5226,117.7562,7.1424,50.9527,48.0389,16.1290,False
EMPOLI,FIRENZE S MARIA NOVELLA,20759,20282,20755,746593.0000,34359,1758,81,2019-10,2026-07,30.5500,ufficiale,35.9717,1.6941,117.7470,5.5452,50.9567,48.6649,8.6678,False
ELLERA CORCIANO,FOLIGNO,343,343,343,20039.0000,1483,128,21,2020-08,2024-09,49.6200,ufficiale,58.4227,4.3236,117.7403,8.7135,50.9596,47.4482,37.3178,False
LUCCA,PONTEDERA CASCIANA TERME,1845,1826,1845,92263.0000,3584,184,78,2019-10,2026-07,42.5000,ufficiale,50.0070,1.9628,117.6636,4.6183,50.9928,49.0670,10.0767,False
LEGNAGO,MONSELICE,9588,9482,9588,428070.0000,22379,1125,82,2019-10,2026-07,37.9500,ufficiale,44.6464,2.3602,117.6454,6.2191,51.0007,48.4400,11.8646,False
CANTELLO GAGGIOLO,MALPENSA AEROPORTO T2,441,441,441,28665.0000,513,23,9,2019-10,2020-12,55.3000,ufficiale,65.0000,1.1633,117.5407,2.1036,51.0462,50.1487,5.2154,False
SESTRI LEVANTE,VENTIMIGLIA,3468,3426,3468,762370.0000,11409,500,82,2019-10,2026-07,187.0700,ufficiale,219.8299,3.3301,117.5121,1.7801,51.0586,50.2966,14.5943,False
IVREA,NOVARA,39639,36961,39635,4841344.0000,103085,6138,81,2019-10,2026-07,104.1500,ufficiale,122.1482,2.7890,117.2810,2.6779,51.1592,50.0171,16.6067,False
MILANO GRECO PIRELLI,STRADELLA,30980,30546,30972,2444233.0000,167992,10892,75,2019-10,2025-12,67.2900,ufficiale,78.9175,5.4996,117.2797,8.1730,51.1598,47.8268,35.6577,False
GRISIGNANO ZOCCO,VENEZIA S LUCIA,1609,1567,1609,98633.0000,2556,136,28,2020-02,2026-07,52.2700,ufficiale,61.3008,1.6311,117.2772,3.1206,51.1608,49.8348,8.6790,False
AVEZZANO,SULMONA,6688,6295,6687,508409.0000,15851,833,82,2019-10,2026-07,64.8600,ufficiale,76.0295,2.5180,117.2209,3.8823,51.1854,49.5445,13.2327,False
BOLOGNA CENTRALE,RIMINI VISERBA,2370,2357,2370,320270.0000,4940,256,6,2020-10,2026-07,115.3000,ufficiale,135.1350,2.0959,117.2030,1.8178,51.1932,50.4114,10.8613,False
LEGNAGO,PADOVA,5834,5679,5830,414818.0000,11973,632,82,2019-10,2026-07,60.7500,ufficiale,71.1523,2.1083,117.1232,3.4704,51.2281,49.7539,11.1287,False
CHIUSI CHIANCIANO TERME,FOLIGNO,1259,1238,1259,163190.0000,3319,159,60,2020-07,2026-07,110.7300,ufficiale,129.6187,2.6809,117.0584,2.4211,51.2565,50.2178,12.8433,False
PESCARA,SULMONA,44073,43932,44072,3521152.0000,54497,2494,82,2019-10,2026-07,68.3300,ufficiale,79.8954,1.2405,116.9259,1.8154,51.3146,50.5300,5.6770,False
CASTELVETRANO,MARSALA,3624,2367,3624,185170.0000,2814,97,47,2019-10,2026-07,43.7100,ufficiale,51.0955,1.1888,116.8965,2.7199,51.3274,50.1604,4.0980,False
PESCARA,TERAMO,44677,43596,44676,3273028.0000,82470,4336,80,2019-10,2026-07,62.6900,ufficiale,73.2614,1.8917,116.8630,3.0175,51.3422,50.0498,9.9459,False
CIVITAVECCHIA,ROMA S PIETRO,499,394,499,38504.0000,1845,128,48,2021-03,2026-07,66.0300,ufficiale,77.1623,4.6827,116.8595,7.0918,51.3437,48.4061,32.4873,False
AVEZZANO,PESCARA,6460,5914,6459,1005118.0000,11144,530,82,2019-10,2026-07,133.1900,ufficiale,155.6151,1.8843,116.8369,1.4148,51.3536,50.7392,8.9618,False
COMO S GIOVANNI,LA SPEZIA CENTRALE,361,341,361,112662.0000,2073,127,25,2023-04,2026-07,267.1100,ufficiale,312.0831,6.0792,116.8369,2.2759,51.3536,50.3724,37.2434,False
CITTADELLA,TREVISO CENTRALE,459,459,459,19513.0000,817,36,18,2020-02,2026-07,36.3900,ufficiale,42.5120,1.7800,116.8233,4.8913,51.3596,49.2957,7.8431,False
BERGAMO,BRESCIA,81006,80238,80983,4608023.0000,313582,22176,82,2019-10,2026-07,48.7300,ufficiale,56.9011,3.9081,116.7681,8.0200,51.3839,48.0815,27.6378,False
RAVENNA,RIMINI,13842,13243,13829,804502.0000,36570,2088,80,2019-10,2026-07,49.8400,ufficiale,58.1750,2.7615,116.7235,5.5406,51.4035,49.0741,15.7668,False
AVEZZANO,TIVOLI,833,760,833,65618.0000,2463,74,41,2020-06,2026-07,67.5100,ufficiale,78.7731,3.2408,116.6836,4.8005,51.4211,49.3892,9.7368,False
FIRENZE S MARIA NOVELLA,PESCIA,1650,1615,1650,104196.0000,4723,223,50,2019-10,2026-07,54.1900,ufficiale,63.1491,2.9245,116.5327,5.3967,51.4877,49.2088,13.8080,False
CIRIE,FOSSANO,10625,10438,10625,1087119.0000,19990,1258,17,2025-01,2026-07,87.9400,ufficiale,102.3171,1.9151,116.3487,2.1778,51.5691,50.6216,12.0521,False
MILANO PORTA GARIBALDI,VERDELLO DALMINE,301,299,301,15598.0000,3981,180,34,2020-01,2026-07,44.5600,ufficiale,51.8206,13.3144,116.2940,29.8797,51.5934,41.0471,60.2007,False
CIRE,FOSSANO,978,974,978,100054.0000,2355,164,8,2024-06,2025-01,88.0700,stimata,102.3047,2.4179,116.1629,2.7454,51.6516,50.4590,16.8378,False
REGGIO CALABRIA CENTRALE,ROCCELLA JONICA,20218,19480,20217,2619570.0000,48213,2716,82,2019-10,2026-07,111.6000,ufficiale,129.5726,2.4750,116.1045,2.2177,51.6776,50.7090,13.9425,False
BUSTO ARSIZIO NORD,MILANO CENTRALE,437,432,437,19254.0000,1405,103,5,2025-09,2026-01,38.0000,ufficiale,44.0595,3.2523,115.9460,8.5587,51.7482,48.1909,23.8426,False
CALTAGIRONE,CATANIA CENTRALE,6783,6363,6778,700688.0000,37758,1759,68,2019-10,2026-07,89.1600,ufficiale,103.3768,5.9340,115.9453,6.6554,51.7486,48.9394,27.6442,False
ACQUI TERME,ALESSANDRIA,6753,6472,6746,264868.0000,16247,824,81,2019-10,2026-07,33.9100,ufficiale,39.2630,2.5104,115.7858,7.4030,51.8198,48.7057,12.7318,False
ALBA,TORINO STURA,42800,42337,42796,3707043.0000,56379,3281,82,2019-10,2026-07,74.8600,ufficiale,86.6212,1.3317,115.7110,1.7789,51.8533,51.0682,7.7497,False
FERRARA,VENEZIA S LUCIA,11330,11241,11330,1472783.0000,19309,948,82,2019-10,2026-07,112.6800,ufficiale,129.9897,1.7177,115.3618,1.5244,52.0103,51.3320,8.4334,False
BRESCIA,CREMONA,47309,46151,47307,2737831.0000,182258,13394,61,2021-07,2026-07,50.2000,ufficiale,57.8737,3.9492,115.2862,7.8669,52.0444,48.7198,29.0221,False
MESSINA CENTRALE,MILAZZO,2805,2762,2803,101967.0000,1601,73,70,2019-10,2026-06,31.5800,ufficiale,36.3778,0.5797,115.1926,1.8355,52.0867,51.2698,2.6430,False
BASSANO DEL GRAPPA,VENEZIA MESTRE,1164,1116,1164,72731.0000,11530,454,77,2019-10,2026-07,54.2800,ufficiale,62.4837,10.3315,115.1136,19.0338,52.1224,44.7269,40.6810,False
BELLUNO,VENEZIA S LUCIA,23863,23540,23863,2852109.0000,49957,2194,69,2020-09,2026-07,103.8600,ufficiale,119.5201,2.1222,115.0781,2.0433,52.1385,51.2289,9.3203,False
FRANCAVILLA AL MARE,TERAMO,1820,1815,1820,150380.0000,2395,96,77,2019-10,2026-07,71.8200,ufficiale,82.6264,1.3196,115.0465,1.8373,52.1528,51.3330,5.2893,False
ALBA,TORINO REBAUDENGO FOSSATA,7629,7621,7629,626029.0000,31515,2138,26,2024-01,2026-07,71.3800,ufficiale,82.0591,4.1353,114.9609,5.7933,52.1916,49.6877,28.0541,False
POTENZA CENTRALE,RIONERO ATELLA RIPACANDITA,382,379,382,19225.0000,953,41,10,2023-05,2024-12,43.8000,stimata,50.3272,2.5145,114.9023,5.7409,52.2183,49.7334,10.8179,False
BELLA MURO,POTENZA INFERIORE,798,731,795,36662.0000,1400,81,23,2019-10,2021-11,40.1700,stimata,46.1157,1.9152,114.8014,4.7677,52.2642,50.1802,11.0807,False
MONDOVI,SAVONA,1192,1091,1192,88637.0000,5068,275,13,2020-09,2026-06,64.8200,ufficiale,74.3599,4.6453,114.7175,7.1664,52.3024,49.2272,25.2062,False
AVEZZANO,GUIDONIA MONTECELIO S ANGELO,774,741,774,72017.0000,1874,91,23,2020-06,2026-05,81.1800,ufficiale,93.0452,2.5290,114.6159,3.1153,52.3487,50.9635,12.2807,False
LEGNAGO,ROVIGO,1131,1105,1131,61002.0000,2969,150,21,2024-10,2026-07,47.0600,ufficiale,53.9363,2.6869,114.6119,5.7095,52.3506,49.8665,13.5747,False
