mese,categoria,cod_stazione,ruolo,parzialmente_cancellate,minuti_ritardo_tot,corse_osservate,minuti_anticipo_tot,soppresse,in_anticipo,cancellate,effettuate,oltre_60,in_ritardo,minuti_netti_tot,oltre_15,cancellate_tot,in_orario,info_mancante,oltre_30,oltre_5,oltre_10,nome_stazione,p90,p95,ritardo_mediano,ritardo_medio
2024-06,IC,N_FEBDC4EA7CA2,arrivo,0,412.0,71,76.0,0,25,0,71,0,24,336.0,9,0,22,0,3,24,13,TORINO P.NUOVA,15.0,23.5,3.0,4.732394366197183
2024-06,IC,N_FEBDC4EA7CA2,partenza,0,368.0,64,110.0,0,22,0,64,1,22,258.0,5,0,20,0,2,22,8,TORINO P.NUOVA,10.700000000000005,17.549999999999983,2.0,4.03125
2024-06,IC,S00202,arrivo,0,46.0,8,2.0,0,2,0,8,0,4,44.0,1,0,1,0,0,4,2,BARDONECCHIA,15.800000000000002,17.899999999999995,5.0,6.285714285714286
2024-06,IC,S00202,partenza,0,34.0,7,20.0,0,4,0,7,0,3,14.0,0,0,0,0,0,3,3,BARDONECCHIA,11.4,11.7,-1.0,2.0
2024-06,IC,S00470,arrivo,0,4.0,1,0.0,0,0,0,1,0,0,4.0,0,0,1,0,0,0,0,ALESSANDRIA,4.0,4.0,4.0,4.0
2024-06,IC,S01645,partenza,0,529.0,20,19.0,0,5,0,20,3,13,510.0,9,0,2,0,5,13,11,MILANO PORTA GARIBALDI,67.00000000000006,104.70000000000002,11.0,25.5
2024-06,IC,S01700,arrivo,0,5610.0,404,238.0,0,70,0,404,13,242,5372.0,93,0,90,0,50,242,140,MILANO CENTRALE,33.0,49.89999999999998,6.0,13.36318407960199
2024-06,IC,S01700,partenza,0,8694.0,455,368.0,0,91,0,455,36,282,8326.0,165,0,78,0,93,282,215,MILANO CENTRALE,50.0,74.0,9.0,18.46119733924612
2024-06,IC,S02011,arrivo,0,4.0,1,0.0,0,0,0,1,0,0,4.0,0,0,1,0,0,0,0,FORTEZZA,4.0,4.0,4.0,4.0
2024-06,IC,S02011,partenza,0,34.0,1,0.0,0,0,0,1,0,1,34.0,1,0,0,0,1,1,1,FORTEZZA,34.0,34.0,34.0,34.0
2024-06,IC,S02026,arrivo,0,193.0,6,1.0,0,1,0,6,1,3,192.0,2,0,2,0,1,3,2,BOLZANO,91.0,125.5,5.0,32.0
2024-06,IC,S02026,partenza,0,28.0,5,14.0,0,3,0,5,0,1,14.0,1,0,1,0,0,1,1,BOLZANO,16.6,21.8,-3.0,2.8
2024-06,IC,S02114,arrivo,0,39.0,2,0.0,0,0,0,2,0,2,39.0,1,0,0,0,1,2,1,S.CANDIDO,31.1,32.55,19.5,19.5
2024-06,IC,S03317,arrivo,0,323.0,54,51.0,0,18,0,54,1,16,272.0,6,0,20,0,2,16,7,TRIESTE CENTRALE,14.700000000000005,23.049999999999983,3.0,5.037037037037037
2024-06,IC,S03317,partenza,0,905.0,50,34.0,0,6,0,50,5,24,871.0,14,0,19,0,8,24,19,TRIESTE CENTRALE,58.60000000000004,88.99999999999989,4.0,17.775510204081634
2024-06,IC,S04203,arrivo,0,0.0,1,2.0,0,1,0,1,0,0,-2.0,0,0,0,0,0,0,0,NOVI LIGURE,-2.0,-2.0,-2.0,-2.0
2024-06,IC,S04203,partenza,0,13.0,2,0.0,0,0,0,2,0,1,13.0,0,0,0,0,0,1,1,NOVI LIGURE,13.0,13.0,13.0,13.0
2024-06,IC,S04501,arrivo,0,3074.0,131,12.0,0,8,0,131,7,109,3062.0,73,0,13,0,37,109,90,VENTIMIGLIA,47.10000000000001,61.39999999999998,19.0,23.553846153846155
2024-06,IC,S04501,partenza,0,918.0,99,43.0,0,13,0,99,0,62,875.0,17,0,24,0,6,62,34,VENTIMIGLIA,25.40000000000001,31.19999999999999,6.0,8.83838383838384
2024-06,IC,S04702,arrivo,0,43.0,19,70.0,0,11,0,19,0,4,-27.0,0,0,4,0,0,4,2,GENOVA BRIGNOLE,6.999999999999997,11.099999999999998,-2.0,-1.4210526315789471
2024-06,IC,S04702,partenza,0,67.0,20,13.0,0,5,0,20,0,6,54.0,1,0,9,0,0,6,1,GENOVA BRIGNOLE,6.300000000000004,9.550000000000008,2.0,2.7
2024-06,IC,S04725,arrivo,0,499.0,21,8.0,0,5,0,21,3,11,491.0,5,0,5,0,3,11,5,SESTRI LEVANTE,79.0,79.0,6.0,23.38095238095238
2024-06,IC,S04725,partenza,0,94.0,21,22.0,0,7,0,21,0,5,72.0,1,0,9,0,1,5,4,SESTRI LEVANTE,11.0,13.0,1.0,3.4285714285714284
2024-06,IC,S04801,arrivo,0,69.0,13,8.0,0,3,0,13,0,4,61.0,2,0,5,0,0,4,2,SAVONA,16.1,22.39999999999999,1.5,5.083333333333333
2024-06,IC,S04801,partenza,0,76.0,13,10.0,0,4,0,13,0,7,66.0,2,0,2,0,0,7,3,SAVONA,14.000000000000004,16.599999999999994,5.0,5.076923076923077
2024-06,IC,S05058,arrivo,0,3.0,1,0.0,0,0,0,1,0,0,3.0,0,0,1,0,0,0,0,FAENZA,3.0,3.0,3.0,3.0
2024-06,IC,S06000,arrivo,0,697.0,43,14.0,0,4,0,43,2,30,683.0,12,0,8,0,8,30,19,LA SPEZIA CENTRALE,43.6,57.59999999999996,9.0,16.261904761904763
2024-06,IC,S06000,partenza,0,532.0,44,27.0,0,8,0,44,1,27,505.0,10,0,9,0,3,27,17,LA SPEZIA CENTRALE,25.90000000000002,32.400000000000006,6.5,11.477272727272728
2024-06,IC,S06026,arrivo,0,28.0,1,0.0,0,0,0,1,0,1,28.0,1,0,0,0,0,1,1,CECINA,28.0,28.0,28.0,28.0
2024-06,IC,S06026,partenza,0,0.0,1,2.0,0,1,0,1,0,0,-2.0,0,0,0,0,0,0,0,CECINA,-2.0,-2.0,-2.0,-2.0
2024-06,IC,S06039,arrivo,0,114.0,23,57.0,0,13,0,23,0,7,57.0,3,0,3,0,1,7,5,GROSSETO,15.6,16.9,-1.0,2.4782608695652173
2024-06,IC,S06039,partenza,0,317.0,22,3.0,0,2,0,22,0,18,314.0,8,0,2,0,3,18,11,GROSSETO,32.10000000000002,42.49999999999999,9.0,14.272727272727273
2024-06,IC,S06416,arrivo,0,937.0,62,9.0,0,5,0,62,2,39,928.0,24,0,18,0,7,39,33,PRATO CENTRALE,30.199999999999985,38.84999999999999,11.0,14.96774193548387
2024-06,IC,S06416,partenza,0,460.0,35,67.0,0,13,0,35,2,19,393.0,9,0,3,0,7,19,11,PRATO CENTRALE,34.60000000000001,50.49999999999996,5.0,11.228571428571428
