mese,categoria,cod_stazione,in_ritardo,minuti_ritardo_tot,in_orario,cancellate,parzialmente_cancellate,oltre_5,cancellate_tot,oltre_15,minuti_netti_tot,soppresse,minuti_anticipo_tot,effettuate,oltre_60,in_anticipo,oltre_30,corse_osservate,info_mancante,oltre_10,ruolo,nome_stazione,p90,ritardo_mediano,p95,ritardo_medio
2024-06,MET,S09818,76,1295.0,268,0,0,76,0,13,140.0,0,1155.0,748,0,390,3,748,0,26,nodo,SALERNO,4.5,0.0,7.5,0.1949600738930934
2024-06,MET,S11721,0,7.0,7,0,0,0,0,0,-14.0,0,21.0,18,0,9,0,18,0,0,nodo,SAPRI,1.3,-1.0,1.8999999999999997,-0.8
2024-06,NCL,N_7B96A6FD7598,0,0.0,0,0,0,0,0,0,-24.0,0,24.0,1,0,1,0,1,0,0,nodo,ROMA SMISTAMENTO,-24.0,-24.0,-24.0,-24.0
2024-06,NCL,N_83C8957FEDE6,0,0.0,0,0,0,0,0,0,-7.0,0,7.0,1,0,1,0,1,0,0,nodo,PIEDIMONTE-V.S.L.-AQUINO,-7.0,-7.0,-7.0,-7.0
2024-06,NCL,N_979136A15902,0,0.0,0,0,0,0,0,0,-43.0,0,43.0,1,0,1,0,1,0,0,nodo,1`BIVIO ORTE NORD,-43.0,-43.0,-43.0,-43.0
2024-06,NCL,N_C76BB014A48D,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,nodo,SAN GIUSEPPE DI CAIRO,0.0,0.0,0.0,0.0
2024-06,NCL,N_DEBAB2A3D4C0,0,0.0,0,0,0,0,0,0,-7.0,0,7.0,1,0,1,0,1,0,0,nodo,REGGIO CALABRIA CENTRALE,-7.0,-7.0,-7.0,-7.0
2024-06,NCL,S00470,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,nodo,ALESSANDRIA,0.0,0.0,0.0,0.0
2024-06,NCL,S01640,0,0.0,0,0,0,0,0,0,-24.0,0,24.0,1,0,1,0,1,0,0,nodo,MILANO CERTOSA,-24.0,-24.0,-24.0,-24.0
2024-06,NCL,S01645,0,0.0,0,0,0,0,0,0,-23.0,0,23.0,1,0,1,0,1,0,0,nodo,MILANO PORTA GARIBALDI,-23.0,-23.0,-23.0,-23.0
2024-06,NCL,S06053,0,0.0,0,0,0,0,0,0,-51.0,0,51.0,2,0,2,0,2,0,0,nodo,1°BIVIO VALDARNO SUD,-24.3,-25.5,-24.15,-25.5
2024-06,NCL,S06909,0,0.0,1,0,0,0,0,0,-1.0,0,1.0,2,0,1,0,2,0,0,nodo,S.GIOVANNI VALDARNO,-0.0999999999999999,-0.5,-0.05,-0.5
2024-06,NCL,S07217,0,0.0,0,0,0,0,0,0,-78.0,0,78.0,3,0,3,0,3,0,0,nodo,FOLIGNO,-24.0,-26.0,-23.75,-26.0
2024-06,NCL,S07221,0,0.0,0,0,0,0,0,0,-31.0,0,31.0,1,0,1,0,1,0,0,nodo,SPOLETO,-31.0,-31.0,-31.0,-31.0
2024-06,NCL,S07226,0,0.0,0,0,0,0,0,0,-84.0,0,84.0,2,0,2,0,2,0,0,nodo,TERNI,-42.0,-42.0,-42.0,-42.0
2024-06,NCL,S08203,1,19.0,0,0,0,1,0,1,19.0,0,0.0,1,0,0,0,1,0,1,nodo,ORVIETO,19.0,19.0,19.0,19.0
2024-06,NCL,S08209,0,0.0,0,0,0,0,0,0,-47.0,0,47.0,2,0,2,0,2,0,0,nodo,ORTE,-23.5,-23.5,-23.5,-23.5
2024-06,NCL,S08409,1,19.0,1,0,0,1,0,1,-76.0,0,95.0,6,0,4,0,6,0,1,nodo,ROMA TERMINI,-4.7,-13.5,-3.6000000000000014,-12.666666666666666
2024-06,NCL,S09213,0,0.0,0,0,0,0,0,0,-61.0,0,61.0,1,0,1,0,1,0,0,nodo,CANCELLO,-61.0,-61.0,-61.0,-61.0
2024-06,REG,N00024,106,1473.0,373,0,0,106,0,15,1399.0,0,74.0,524,0,45,0,524,0,31,nodo,VARESE NORD,6.8500000000000085,1.5,10.274999999999991,2.653649635036496
2024-06,REG,N00025,17,189.0,35,0,0,17,0,0,186.0,0,3.0,55,0,3,0,55,0,1,nodo,VARESE CASBENO,5.5,2.0,6.224999999999998,2.813063063063064
2024-06,REG,N00055,179,2310.0,480,0,0,179,0,25,2241.0,0,69.0,717,0,58,0,717,0,56,nodo,NOVARA NORD,8.0,2.0,11.275000000000006,3.1464327439831763
2024-06,REG,N00066,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,nodo,MEDA,0.0,0.0,0.0,0.0
2024-06,REG,N00068,5,60.0,15,0,0,5,0,0,60.0,0,0.0,21,0,0,0,21,0,2,nodo,MARIANO COMENSE,8.600000000000001,2.0,10.3,4.372549019607843
2024-06,REG,N00074,146,1554.0,110,0,0,146,0,20,1544.0,0,10.0,265,0,9,0,265,0,49,nodo,ERBA,12.75,4.5,15.5,5.759192645883294
2024-06,REG,N00079,226,2728.0,307,0,0,226,0,32,2669.0,0,59.0,572,0,39,0,572,0,82,nodo,ASSO,11.5,3.0,14.5,4.646086999214454
2024-06,REG,N00210,23,433.0,165,0,0,23,0,6,244.0,0,189.0,269,0,81,0,269,0,9,nodo,ISEO,4.050000000000004,0.0,7.549999999999997,0.7897084048027444
2024-06,REG,N00217,3,44.0,29,0,0,3,0,0,33.0,0,11.0,34,0,2,0,34,0,0,nodo,PISOGNE,4.050000000000001,0.25,5.125,0.96875
2024-06,REG,N00226,8,161.0,49,0,0,8,0,2,134.0,0,27.0,69,0,12,0,69,0,4,nodo,BRENO,4.800000000000004,0.5,8.374999999999996,1.9410256410256408
2024-06,REG,N00235,79,1563.0,317,0,0,79,0,35,1329.0,0,234.0,491,0,95,1,491,0,58,nodo,EDOLO,10.099999999999994,0.5,19.049999999999983,2.741425241425241
2024-06,REG,N_062CD5DC38A2,2,29.0,0,0,0,2,0,1,26.0,0,3.0,4,0,2,0,4,0,1,nodo,POGGIBONSI,8.8,2.0,9.65,3.666666666666667
2024-06,REG,N_06F2305DF710,18,441.0,170,0,0,18,0,5,-138.0,0,579.0,505,0,310,1,505,0,8,nodo,CARBONIA SERBARIU,2.0,-1.0,3.8249999999999886,-0.2763870967741935
