mese,categoria,in_ritardo,cancellate_tot,minuti_anticipo_tot,oltre_5,oltre_10,cancellate,minuti_ritardo_tot,in_orario,corse_osservate,info_mancante,minuti_netti_tot,parzialmente_cancellate,effettuate,oltre_30,oltre_15,in_anticipo,oltre_60,soppresse,ritardo_medio,ritardo_mediano,p95,p90
2025-06,REG,34379,0,224381.0,34379,13215,0,588170.0,92892,220805,0,363789.0,0,220805,2715,7791,87335,547,0,1.6951483183135607,0.0,11.0,7.0
2025-06,,7340,0,17502.0,7340,5042,0,214412.0,3564,15138,0,196910.0,0,15138,2148,3828,3966,872,0,13.242098184263618,4.0,64.0,41.0
2025-07,DIR,0,0,0.0,0,0,0,5.0,2,2,0,5.0,0,2,0,0,0,0,0,2.5,2.5,2.95,2.9
2025-07,EC,493,0,1401.0,493,335,0,11346.0,276,1252,0,9945.0,0,1252,119,245,419,23,0,8.371212121212121,2.0,41.0,29.29999999999995
2025-07,EN,81,0,26.0,81,59,0,2903.0,30,119,0,2877.0,0,119,31,49,8,12,0,24.176470588235293,9.0,87.6999999999999,56.00000000000003
2025-07,EXP,18,0,214.0,18,15,0,629.0,9,52,0,415.0,0,52,8,10,22,3,0,8.46938775510204,0.0,69.1999999999999,50.20000000000002
2025-07,IC,1478,0,4471.0,1478,1048,0,43501.0,687,3142,0,39030.0,0,3142,429,792,924,164,0,12.635157008740691,4.0,61.59999999999991,40.0
2025-07,ICN,187,0,1981.0,187,125,0,5601.0,126,607,0,3620.0,0,607,63,94,294,25,0,5.963756177924218,0.0,51.0,30.0
2025-07,IR,7,0,1.0,7,5,0,235.0,3,11,0,234.0,0,11,5,5,1,1,0,21.27272727272728,8.0,55.5,39.0
2025-07,MET,382,0,6362.0,382,197,0,9790.0,2950,6781,0,3428.0,0,6781,35,109,3190,10,0,0.5256056424409691,0.0,5.0,3.0
2025-07,NCL,4,0,177.0,4,3,0,430.0,0,13,0,253.0,0,13,2,2,5,1,0,28.11111111111111,-6.0,235.7999999999999,114.60000000000004
2025-07,REG,33834,0,251364.0,33834,12815,0,585401.0,95303,230388,0,334037.0,0,230388,2663,7476,95408,615,0,1.4876171814112984,0.0,11.0,6.0
2025-07,,7472,0,17034.0,7472,4986,0,202720.0,4084,15834,0,185686.0,0,15834,1980,3650,4040,758,0,11.906001538856115,4.0,59.0,36.0
2025-08,EC,428,0,2462.0,428,232,0,8510.0,319,1405,0,6048.0,0,1405,57,135,641,23,0,4.357348703170029,1.0,26.0,14.0
2025-08,EN,77,0,167.0,77,61,0,2609.0,24,123,0,2442.0,0,123,24,49,22,10,0,19.853658536585368,9.0,79.49999999999996,49.8
2025-08,EXP,21,0,364.0,21,17,0,727.0,7,49,0,363.0,0,49,7,14,20,3,0,7.5625,1.0,61.29999999999997,35.400000000000034
2025-08,IC,1183,0,6488.0,1183,812,0,33362.0,710,3040,0,26874.0,0,3040,286,565,1139,111,0,8.863456464379947,2.0,52.0,28.0
2025-08,ICN,143,0,2894.0,143,84,0,3513.0,149,652,0,619.0,0,652,32,56,360,11,0,0.9493865030674846,-1.0,28.0,11.0
2025-08,IR,0,0,3.0,0,0,0,0.0,0,1,0,-3.0,0,1,0,0,1,0,0,-3.0,-3.0,-3.0,-3.0
2025-08,MET,171,0,6576.0,171,48,0,5442.0,3030,6565,0,-1134.0,0,6565,4,24,3319,0,0,-0.1739263803680981,-1.0,3.0,2.0
2025-08,NCL,16,0,167.0,16,13,0,951.0,2,23,0,784.0,0,23,11,13,5,6,0,34.08695652173913,19.0,121.9,119.2
2025-08,REG,24426,0,257481.0,24426,8911,0,440918.0,86936,208384,0,183437.0,0,208384,1860,5237,94944,407,0,0.8891500974280923,0.0,9.0,5.0
2025-08,,4092,0,35666.0,4092,2474,0,95026.0,3362,13270,0,59360.0,0,13270,816,1712,5812,250,0,4.474596713402684,1.0,34.0,19.0
2025-09,DIR,1,0,0.0,1,1,0,27.0,0,1,0,27.0,0,1,0,1,0,0,0,27.0,27.0,27.0,27.0
2025-09,EC,507,0,1933.0,507,293,0,10761.0,311,1372,0,8828.0,0,1372,85,195,475,26,0,6.827532869296211,2.0,37.0,22.0
2025-09,EN,82,0,33.0,82,63,0,2993.0,23,112,0,2960.0,0,112,27,45,7,12,0,26.428571428571427,11.0,110.94999999999963,61.400000000000034
2025-09,EXP,23,0,129.0,23,17,0,1113.0,9,65,0,984.0,0,65,11,17,16,5,0,20.5,3.5,77.09999999999998,59.800000000000026
2025-09,IC,1340,0,5195.0,1340,894,0,34745.0,777,3131,0,29550.0,0,3131,320,657,976,110,0,9.553831231813772,3.0,50.0,30.0
2025-09,ICN,137,0,1517.0,137,74,0,3973.0,122,497,0,2456.0,0,497,31,58,238,17,0,4.941649899396379,0.0,36.19999999999999,17.400000000000034
2025-09,IR,2,0,2.0,2,2,0,38.0,1,5,0,36.0,0,5,0,1,1,0,0,9.0,9.0,19.1,18.200000000000003
2025-09,MET,486,0,9294.0,486,155,0,9269.0,2967,7396,0,-25.0,0,7396,24,65,3710,3,0,-0.0034901577551305,-1.0,5.0,3.0
2025-09,NCL,6,0,317.0,6,6,0,276.0,1,17,0,-41.0,0,17,5,5,10,1,0,-2.411764705882353,-4.0,58.99999999999994,38.2
2025-09,REG,38951,0,231484.0,38951,14597,0,650609.0,98785,233138,0,419125.0,0,233138,2878,8385,88833,652,0,1.8498779621219144,1.0,12.0,7.0
