mese,tipo_giorno,fascia_oraria,categoria,oltre_5,info_mancante,oltre_30,corse_osservate,cancellate,effettuate,in_ritardo,in_orario,in_anticipo,oltre_60,parzialmente_cancellate,minuti_netti_tot,soppresse,cancellate_tot,minuti_anticipo_tot,oltre_10,minuti_ritardo_tot,oltre_15,ritardo_mediano,p90,p95,ritardo_medio
2024-07,infrasettimanale,tarda_mattina,IC,305,0,95,531,0,531,305,92,132,32,0,8943.0,0,0,659.0,221,9602.0,168,7.0,51.0,63.199999999999925,16.905482041587902
2024-07,infrasettimanale,tarda_mattina,ICN,17,0,3,34,0,34,17,5,12,2,0,390.0,0,0,47.0,13,437.0,10,6.0,26.2,42.89999999999993,11.470588235294118
2024-07,infrasettimanale,tarda_mattina,IR,1,0,1,1,0,1,1,0,0,1,0,88.0,0,0,0.0,1,88.0,1,88.0,88.0,88.0,88.0
2024-07,infrasettimanale,tarda_mattina,MET,85,0,12,1572,0,1572,85,629,844,6,0,547.0,0,0,1782.0,26,2329.0,20,-1.0,3.0,5.0,0.35109114249037227
2024-07,infrasettimanale,tarda_mattina,NCL,2,0,1,3,0,3,2,0,1,0,0,18.0,0,0,44.0,2,62.0,1,10.0,43.6,47.79999999999999,6.0
2024-07,infrasettimanale,tarda_mattina,REG,7326,0,410,44600,0,44600,7326,20056,17026,71,0,77026.0,0,0,41527.0,2832,118553.0,1550,1.0,7.0,11.0,1.734507295982706
2024-07,infrasettimanale,tarda_mattina,,2040,0,630,3144,0,3144,2040,694,408,222,0,58996.0,0,0,1402.0,1500,60398.0,1196,9.0,51.0,70.0,18.776575429662635
2024-07,weekend,mattina,EC,3,0,1,17,0,17,3,3,11,0,0,6.0,0,0,53.0,1,59.0,1,-3.0,6.800000000000001,13.59999999999998,0.3529411764705882
2024-07,weekend,mattina,IC,84,0,20,194,0,194,84,63,45,9,0,2170.0,0,0,173.0,58,2343.0,40,3.0,34.400000000000034,57.0,11.302083333333336
2024-07,weekend,mattina,ICN,0,0,0,5,0,5,0,1,4,0,0,-53.0,0,0,53.0,0,0.0,0,-9.0,-3.6,-1.8000000000000014,-10.6
2024-07,weekend,mattina,MET,25,0,1,340,0,340,25,156,141,1,0,174.0,0,0,339.0,6,513.0,5,0.0,3.0,5.0,0.5403726708074534
2024-07,weekend,mattina,REG,1168,0,114,8622,0,8622,1168,3597,3516,21,0,12098.0,0,0,9075.0,495,21173.0,291,0.0,6.0,11.0,1.4609346697258785
2024-07,weekend,mattina,,518,0,120,1070,0,1070,518,292,246,54,0,12824.0,0,0,948.0,330,13772.0,244,4.0,32.60000000000002,64.8499999999998,12.143939393939394
2024-07,weekend,notte,EN,6,0,3,8,0,8,6,2,0,2,0,439.0,0,0,0.0,5,439.0,4,14.0,148.59999999999997,194.79999999999995,54.875
2024-07,weekend,notte,EXP,0,0,0,1,0,1,0,0,1,0,0,-27.0,0,0,27.0,0,0.0,0,-27.0,-27.0,-27.0,-27.0
2024-07,weekend,notte,IC,51,0,14,98,0,98,51,16,31,5,0,1218.0,0,0,159.0,38,1377.0,27,5.0,35.3,51.99999999999983,12.428571428571429
2024-07,weekend,notte,ICN,4,0,2,11,0,11,4,1,6,0,0,33.0,0,0,86.0,4,119.0,3,-4.0,32.0,44.0,3.0
2024-07,weekend,notte,IR,0,0,0,1,0,1,0,1,0,0,0,4.0,0,0,0.0,0,4.0,0,4.0,4.0,4.0,4.0
2024-07,weekend,notte,MET,4,0,0,126,0,126,4,36,76,0,0,-125.0,0,0,202.0,2,77.0,0,-2.0,2.0,3.25,-1.0775862068965518
2024-07,weekend,notte,NCL,3,0,3,3,0,3,3,0,0,2,0,195.0,0,0,0.0,3,195.0,3,62.0,86.0,89.0,65.0
2024-07,weekend,notte,REG,502,0,53,3732,0,3732,502,1457,1649,13,0,4969.0,0,0,4653.0,233,9622.0,143,0.0,6.0,12.0,1.3772172949002215
2024-07,weekend,notte,,138,0,36,306,0,306,138,72,92,6,0,2850.0,0,0,446.0,92,3296.0,70,4.0,35.0,45.5,9.437086092715232
2024-07,weekend,pomeriggio,EC,35,0,12,56,0,56,35,8,12,4,0,961.0,0,0,36.0,27,997.0,21,9.0,43.80000000000001,69.59999999999997,17.472727272727273
